Table (of Game struct)	Id	Field	New text
AwardsTxt	0		
	1		에메랄드 섬의 보물찾기 대회에서 우승함
	2		에메랄드 섬에서 실종된 참가자들을 찾아냄
	3		하몬데일 성에서 고블린을 몰아냄
	4		레드 드워프 광산에서 드워프들을 구출함
	5		아이언샌드 사막에서 대재앙의 목격자를 찾아냄
	6		마법사 시험장을 완료함
	7		가로트 협곡의 드래곤들과 동맹을 맺음
	8		찰스 키호테와 그의 드래곤 사냥꾼들과 동맹을 맺음
	9		라비지 로밍의 미노타우로스들과 동맹을 맺음
	10		강령술사 길드와 동맹을 맺음
	11		태양의 신전과 동맹을 맺음
	12		레그나 함대를 침몰시켜 롤랜드와 캐서린 아이언피스트가 동맹에 합류하게 함
	13		컨플럭스 열쇠를 제작함
	14		공기의 군주 샬웬드를 구출함
	15		물의 군주 아크왈랜더를 구출함
	16		대지의 군주 잔혹한 그랄코르를 구출함
	17		불의 군주 피라나스테를 구출함
	18		대거 운드 섬의 황열병 유행을 막음
	19		신전 조각 두 개를 모두 되찾음
	20		카우리 블랙손을 구출함
	21		제노펙스를 처치함
	22		와인 저장고의 수수께끼를 해결함
	23		숲의 심장을 되찾음
	24		영혼 단지들을 되찾음
	25		톨베르티를 암살함
	26		클랭커의 연구소를 소탕함
	27		현자 로버트를 암살함
	28		강령술사 번식 구역을 완료함
	29		발타자르의 도끼를 되찾음
	30		위던의 등불을 돌려줌
	31		잃어버린 태양의 예언서를 찾아 태양의 신전에 돌려줌
	32		할다르의 유해를 돌려줌
	33		코르부의 석관과 유해를 찾아냄
	34		다브릭 경의 인장 반지를 돌려줌
	35		잃어버린 켈의 책을 찾아냄
	36		아르코메이지 승리: %lu
	37		아르코메이지 패배: %lu
	38		파슨의 깃펜을 노버트 스러시에게 돌려줌
	39		요정의 피리를 요한 케리드에게 돌려줌
	40		트로글로다이트 학살자
	41		아르코메이지 챔피언
	42		알바르의 치즈 감정가 아사엘 프로마고에게 치즈 세 개를 가져다줌
	43		사망 횟수: %u
	44		현상금으로 %u을(를) 획득함
	45		감옥에서 %u회의 형기를 치름
	46		시종 등급 투기장에서 %u회 승리함
	47		종자 등급 투기장에서 %u회 승리함
	48		기사 등급 투기장에서 %u회 승리함
	49		군주 등급 투기장에서 %u회 승리함
	50		공포의 해적 스탠리의 보물을 찾아냄!
	51		그리핀 학살자
	52		사계절의 영대를 되찾음
	53		모든 조각상을 찾아 제자리에 놓음
	54		대거 운드 섬에서 로트낵스의 형제, 혀의 이스트릭을 구출함
	55		그림 전집을 모두 되찾음
	56		왕자를 돌려보냄
	57		킬번 경의 방패를 되찾음
	58		시간의 모래시계를 되찾음
	59		데빌 전초기지를 파괴함
	60		도둑의 왕자를 생포함
	61		마구간 요금을 바로잡음
	62		겨울을 끝냄
	63		최고 평의회의 배신자를 폭로함
	64		대거 운드 섬의 '그로그 앤드 그럽'에서 아르코메이지에 승리함
	65		레이븐쇼어의 '케셀스 칸티나'에서 아르코메이지에 승리함
	66		알바르의 '프로핏 하우스'에서 아르코메이지에 승리함
	67		아이언샌드 사막의 '파치드 스로트'에서 아르코메이지에 승리함
	68		가로트 협곡의 '드래곤스 블러드 인'에서 아르코메이지에 승리함
	69		섀도스파이어의 '블랙 컴퍼니'에서 아르코메이지에 승리함
	70		머머우즈의 '트래블러스 레스트'에서 아르코메이지에 승리함
	71		라비지 로밍의 '불스 아이 인'에서 아르코메이지에 승리함
	72		레그나의 '파이리츠 레스트'에서 아르코메이지에 승리함
	73		레이븐쇼어의 '댄싱 오우거'에서 아르코메이지에 승리함
	74		알바르의 '미호스 로드하우스'에서 아르코메이지에 승리함
	75		오라클을 깨움
	76		제어 센터 출입 권한을 얻음
	77		아치볼드를 풀어줌
	78		하이브를 파괴하고 엔로스를 구함
	79		스너글을 처치함
	80		안개 섬의 시장을 구함
	81		바의 촛대를 되찾음
	82		앤드루의 하프를 되찾음
	83		에스릭의 두개골을 되찾음
	84		거미 여왕을 처치함
	85		모놀리스를 구함
	86		바라드에게 박쥐 구아노를 건넴
	87		사악한 수정을 파괴함
	88		에마뉘엘을 구출함
	89		졸탄의 유물을 찾아냄
	90		셰리를 구출함
	91		앤절라를 구출함
	92		셰렐을 구출함
	93		블랙셔의 저주를 풀어냄
	94		늑대인간 우두머리를 처치함
	95		고블린워치의 조합식 수수께끼를 해결함
	96		조화의 종을 되찾아 돌아옴
	97		에밀의 알을 되찾음
	98		트윌렌의 조각상들을 제자리에 놓음
	99		불의 군주를 도움
	100		여섯 번째 편지를 윌버 험프리에게 전달함
	101		왕실 요트 사용을 허가받음
	102		리치의 책을 파괴함
	103		슈퍼 구버
	104		오벨리스크 수수께끼를 해결함
