Table (of Game struct)	Id	Field	New text
ClassDescriptions	0		성기사와 마찬가지로 궁수는 기사와 소서러의 특징을 결합한 혼합 직업입니다. 궁수는 둔기를 제외한 모든 무기를 배울 수 있으며, 당연히 활에 특화됩니다. 하지만 방패와 판금 갑옷 기술은 배울 수 없습니다. 대신 원소 계열 마법을 익힐 수 있습니다. 두 번째 승급을 마치면 상위 계열인 빛과 어둠 마법도 배울 수 있지만, 높은 경지에는 이르지 못합니다.  
	1		전투 마법사는 궁수의 첫 번째 승급 직업입니다. 전투 마법사는 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 무엇보다 마법 기술을 전문가 등급까지 올릴 수 있습니다.
	2		명궁은 빛의 길을 따르는 궁수의 두 번째이자 마지막 승급 직업입니다. 명궁은 사슬 갑옷, 활, 지각 기술을 그랜드마스터까지 올릴 수 있으며, 레벨마다 생명력과 주문력을 1씩 추가로 얻습니다. 또한 빛 마법 주문을 배울 수 있습니다.
	3		저격수는 어둠의 길을 따르는 궁수의 두 번째이자 마지막 승급 직업입니다. 저격수는 사슬 갑옷, 활, 지각 기술을 그랜드마스터까지 올릴 수 있으며, 레벨마다 생명력과 주문력을 1씩 추가로 얻습니다. 또한 어둠 마법 주문을 배울 수 있습니다.
	4		성직자는 모험에 나서는 신성 주문 사용자입니다. 교단의 성역을 떠나기 전에 기본적인 전투 기술과 유용한 치유 주문을 익힙니다. 성직자는 영혼, 육체, 정신 마법을 가장 능숙하게 다루며, 강력한 빛 마법을 사용할 수 있는 유일한 직업입니다. 전투 능력도 무난하지만 가벼운 갑옷만 착용할 수 있고, 근접전에서는 둔기만 사용할 수 있습니다.
	5		사제는 성직자의 첫 번째 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 빛의 사제나 어둠의 사제로 다시 승급하면 레벨마다 생명력과 주문력을 1씩 더 얻습니다.
	6		성직자가 태양의 사제로 승급하면 더욱 깊어진 신앙을 바탕으로 영혼, 육체, 정신, 빛 계열의 가장 강력한 마법을 사용할 수 있습니다.
	7		어둠의 사제는 어둠의 길을 따르는 성직자의 두 번째이자 마지막 승급 직업입니다. 어둠의 사제는 어둠 마법 주문을 배우고 그랜드마스터까지 수련할 수 있습니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 모든 마법 기술과 상업 기술을 그랜드마스터까지 올릴 수 있습니다.
	8		다크 엘프는 어둠의 길을 선택한 엘프입니다. 모든 다크 엘프는 종족 고유의 특별한 마법 능력을 지니고 있습니다. 모험가 다크 엘프는 특히 활에 능한 전사이며 원소 마법도 사용할 수 있습니다. 함정 해제와 상업 기술에도 뛰어납니다.
	9		특정한 시험을 통과한 다크 엘프는 종족의 상위 계층에 들어가 족장의 지위를 얻습니다. 족장은 극도로 강력한 전투 마법사가 될 수 있습니다.
	10		고귀한 드래곤 종족은 이른바 '문명화된' 종족의 일에 좀처럼 관여하지 않지만, 일단 나서면 강력한 상대가 됩니다. 거대한 육체 자체가 천연 갑옷과 무기 역할을 하며, 숨결 공격도 사용할 수 있습니다. 
	11		살아남아 고룡이 된 드래곤은 동족 가운데 가장 거대하고 지혜로운 존재입니다. 단 한 마리의 고룡에게 군대 전체가 무너졌다는 전설도 전해집니다.
	12		드루이드는 소서러와 성직자의 특징을 결합한 혼합 직업입니다. 전투 능력은 낮고 소서러보다 조금 나은 정도이며 생명력도 비교적 적습니다. 대신 소서러와 성직자의 마법을 모두 사용할 수 있습니다. 빛과 어둠 마법은 배울 수 없으며, 무기는 지팡이, 단검, 둔기, 활만 사용할 수 있습니다. 방어구는 가죽 갑옷과 방패로 제한됩니다. 대부분의 보조 기술은 배울 수 있습니다.    
	13		상급 드루이드는 드루이드의 첫 번째 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 대드루이드나 흑마법사로 다시 승급하면 레벨마다 생명력과 주문력을 1씩 더 얻습니다. 이 승급을 마치면 마법 기술을 달인 등급까지 올릴 수 있습니다.
	14		흑마법사는 어둠의 길을 따르는 드루이드의 두 번째이자 마지막 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 연금술과 명상 기술을 그랜드마스터까지 올릴 수 있습니다. 
	15		대드루이드는 빛의 길을 따르는 드루이드의 두 번째이자 마지막 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 연금술과 명상 기술을 그랜드마스터까지 올릴 수 있습니다. 
	16		기사는 무예에 헌신하는 인간 전사입니다. 전투 기술에 특화되어 있으며 모든 무기와 방어구를 능숙하게 사용할 수 있습니다. 육체적인 강인함은 트롤 다음으로 뛰어납니다. 하지만 어떤 마법도 배울 수 없습니다.
	17		중기병은 기사의 첫 번째 승급 직업입니다. 모든 종류의 무기와 방어구를 사용할 수 있지만 주문은 배울 수 없습니다. 레벨마다 생명력을 2씩 추가로 얻으며, 챔피언이나 흑기사로 다시 승급하면 레벨마다 생명력을 2씩 더 얻습니다.  
	18		흑기사는 어둠의 길을 따르는 기사의 두 번째이자 마지막 승급 직업입니다. 모든 종류의 무기와 방어구를 사용할 수 있지만 주문은 배울 수 없습니다. 레벨마다 생명력을 총 4씩 추가로 얻습니다. 판금 갑옷, 방패, 검, 창 기술을 그랜드마스터까지 올릴 수 있습니다.
	19		챔피언은 풍부한 경험을 쌓고 기사도의 임무를 완수하여 승급한 기사입니다. 판금 갑옷과 방패를 비롯해 여러 무기 및 전투 기술을 그랜드마스터까지 올릴 수 있습니다.
	20		미노타우로스 종족은 마법에 감응하는 수호자로 만들어진 생물의 후예입니다. 주로 전투 기술에 능하지만 육체, 영혼, 정신 마법도 사용할 수 있습니다. 모든 무기를 사용할 수 있으며 특히 도끼에 특화됩니다. 모든 종류의 갑옷을 입을 수 있지만 방패와 투구는 사용할 수 없습니다.
	21		극도의 용맹을 증명한 미노타우로스만이 미노타우로스 군주로 승급할 수 있습니다. 이 단계에서는 도끼와 지각 기술을 그랜드마스터까지 올릴 수 있습니다.
	22		수도사는 맨손 전투에 집중합니다. 전투 능력은 기사 다음으로 뛰어나며, 수련자로 승급하면 성직 계열인 영혼, 정신, 육체 마법을 사용할 수 있습니다.
	23		수련자는 수도사의 첫 번째 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 성직 계열 마법 주문을 사용할 수 있게 됩니다.
	24		달인은 빛의 길을 따르는 수도사의 마지막 승급 직업입니다. 레벨마다 생명력을 2씩 더 얻고 마법 기술을 전문가 등급까지 올릴 수 있습니다. 회피, 맨손 전투, 지팡이, 학습, 신체 단련 기술은 그랜드마스터까지 올릴 수 있습니다.
	25		닌자는 어둠의 길을 따르는 수도사의 마지막 승급 직업입니다. 레벨마다 생명력을 2씩 더 얻으며, 회피, 맨손 전투, 지팡이, 학습, 신체 단련 기술을 그랜드마스터까지 올릴 수 있습니다.
	26		기사와 성직자를 결합한 성기사는 두 역할을 모두 무난하게 수행하지만, 각 분야에 특화된 직업만큼 뛰어나지는 않습니다. 기사처럼 모든 종류의 무기와 방어구를 배울 수 있지만 처음 선택할 수 있는 기술은 더 적습니다. 영혼 마법으로 시작하며 성직 계열인 정신과 육체 마법도 배울 수 있습니다. 상위 계열인 빛과 어둠 마법의 숙련도는 크게 제한되며, 원소 계열 마법은 전혀 배울 수 없습니다.
	27		십자군은 성기사의 첫 번째 승급 직업입니다. 모든 종류의 무기와 방어구를 사용할 수 있으며 영혼, 정신, 육체 계열의 성직 마법을 배울 수 있습니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻으며, 영웅이나 악당으로 다시 승급하면 레벨마다 생명력과 주문력을 1씩 더 얻습니다.
	28		영웅은 빛의 길을 따르는 성기사의 두 번째이자 마지막 승급 직업입니다. 레벨마다 생명력과 주문력을 1씩 추가로 얻습니다. 수리, 둔기, 방패 기술을 그랜드마스터까지 올릴 수 있으며 빛 마법 주문도 배울 수 있습니다.
