Table (of Game struct)	Id	Field	New text
ClassNames	0		궁수
	1		전투 마법사
	2		명궁
	3		저격수
	4		성직자
	5		사제
	6		빛의 사제
	7		어둠의 사제
	8		다크 엘프
	9		족장
	10		드래곤
	11		고룡
	12		드루이드
	13		상급 드루이드
	14		흑마법사
	15		대드루이드
	16		기사
	17		중기병
	18		챔피언
	19		흑기사
	20		미노타우로스
	21		미노타우로스 군주
	22		수도사
	23		수련자
	24		달인
	25		닌자
	26		성기사
	27		십자군
	28		영웅
	29		악당
	30		레인저
	31		사냥꾼
	32		현상금 사냥꾼
	33		레인저 군주
	34		도둑
	35		로그
	36		암살자
	37		첩자
	38		트롤
	39		전투 트롤
	40		뱀파이어
	41		노스페라투
	42		소서러
	43		마법사
	44		강령술사
	45		리치
	46		대마법사
	47		대강령술사
	48		농민
	49		n/u
	50		대사제
	51		마스터 위저드
	52		n/u
