Id	Name	NotIdentifiedName 	Notes
1	철제 장검	장검	대량 생산된 이 약간 불균형한 검은 전국 각지의 민병대원들이 사용하는 무기입니다.
2	트롤의 전쟁검	장검	비록 원시적인 제작 기술로 만들어졌지만, 이 무기의 칼날은 무게가 상당하여 탁월한 타격력을 자랑합니다.
3	다크 엘프 장검	장검	다크 엘프 도시 알바르 출신 상인의 무기. 물결 모양의 칼날은 날카로운 상태를 유지하고 있다.
4	템플러의 검	장검	진정한 검객을 위한 검. 장식이 없는 것은 오직 검의 목적만을 위해 만들어졌음을 보여준다.
5	챔피언의 검	장검	"이 검들은 에라시아 검기 기사단의 단원들만을 위해 제작됩니다. 전통에 따라 전사한 단원들과 함께 신성하고 삼엄하게 경비되는 땅에 묻히기 때문에 매우 희귀한 물건입니다."
6	철제 양손검	양손검	이 칼날은 무게와 길이가 상당하여 타격 범위와 파괴력이 뛰어납니다. 하지만 그 외에는 품질 면에서 특별히 뛰어난 점은 없습니다.
7	다크 엘프 바스타드 소드	양손검	"엘프 대상 호위병들이 흔히 휴대하는 이 검은 크기가 약간 작지만, 한 손으로 휘두르기에 거의 충분할 정도로 가볍지는 않습니다."
8	미노타우로스 전투검	양손검	엄청난 힘과 균형 감각을 지닌 자만이 이 강력한 검을 우아하게 휘두를 수 있을 뿐 아니라, 전투의 열기 속에서 그것을 제어할 수 있다.
9	드래곤 칼날	양손검	"깊은 상처를 남기는 날카로운 절삭력과 완벽한 균형을 갖춘 이 무기는 오직 한 가지 목적, 바로 용을 처치하는 것을 위해 설계되었습니다."
10	참수자의 대검	양손검	"정제된 에루딘 합금으로 제작된 후 끓어오르는 용암 속에서 담금질을 거친 이 검은, 거의 무뎌지지 않는 완벽한 균형의 칼날을 자랑하며 위압적인 외관에 걸맞은 위용을 보여줍니다."
11	철제 브로드소드	브로드소드	일부 검객들은 철검의 부드러운 금속 재질이 전투에서 특정한 이점을 준다고 굳게 믿는다. 그런데 그런 검객들은 대체로 나이가 많지 않아 보인다.
12	트롤 클레이모어	브로드소드	"비록 디자인과 제작 방식은 원시적이지만, 이 트롤들이 만든 무기들은 숙련된 사용자의 손에 들어가면 효과적입니다."
13	리자드맨 브로드소드	브로드소드	도마뱀인간들은 튼튼한 내구성을 지닌 무기를 만들어낸다.
14	기사의 브로드소드	브로드소드	이 검의 끝이 가늘어지지 않는 날의 무게는 정교한 균형추가 없었다면 다루기 힘들었을 것이다.
15	대천사 브로드소드	브로드소드	"순수한 에루딘 강철로 만들어진 이 검은 갑옷을 버터처럼 쉽게 베어낼 수 있으며 별빛처럼 찬란하게 빛납니다. 이보다 더 훌륭한 검도 있겠지만, 그 수는 손가락으로 꼽을 수 있을 정도입니다."
16	녹슨 커틀러스	커틀러스	"이 무기는 한때 꽤 품질이 좋았을지도 모르지만, 오랜 세월 동안 심하게 부식된 모습 때문에 이를 알아내기는 어려울 것이다."
17	고블린 시미터	커틀러스	"고블린-오우거 전쟁에서 고우다르 심층 고블린들이 자다메에서 완전히 전멸된 후, 수천 개의 이러한 무기가 일반 시장에 나타났습니다."
18	레그나 커틀러스	커틀러스	"레그나 선원들에게 기본 호신용 무기로 지급된 이 칼은 견고한 내구성으로 명성을 얻었습니다."
19	레그나 팔치온	커틀러스	"이 무기의 칼날은 무게중심이 극도로 앞으로 쏠려 있어 강력한 타격력을 자랑하지만, 사용하려면 뛰어난 힘과 기술이 필요합니다."
20	선장의 커틀러스	커틀러스	"레그나의 대장들이 첫 지휘권을 얻을 때 지급되는 이 우수한 무기들은 그들이 적과 부하들을 제압하는 데 도움을 줍니다."
