Table (of Game struct)	Id	Field	New text
MapStats	0	Name	
	1	Name	대거 운드 섬
	2	Name	레이븐쇼어
	3	Name	알바르
	4	Name	아이언샌드 사막
	5	Name	가로트 협곡
	6	Name	섀도스파이어
	7	Name	머머우즈
	8	Name	라비지 로밍
	9	Name	공기의 차원
	10	Name	대지의 차원
	11	Name	불의 차원
	12	Name	물의 차원
	13	Name	레그나
	14	Name	차원 사이의 차원
	15	Name	튜토리얼
	16	Name	버려진 신전
	17	Name	해적 전초기지
	18	Name	밀수꾼의 만
	19	Name	다이어 울프 소굴
	20	Name	알바르 상인회관
	21	Name	에스카톤의 수정
	22	Name	말벌 둥지
	23	Name	오우거 요새
	24	Name	트롤 무덤
	25	Name	사이클롭스 식량창고
	26	Name	불의 사슬
	27	Name	드래곤 사냥꾼 야영지
	28	Name	드래곤 동굴
	29	Name	나가 보물고
	30	Name	강령술사 길드
	31	Name	미친 강령술사의 연구소 
	32	Name	뱀파이어 납골당
	33	Name	태양의 신전
	34	Name	드루이드 서클
	35	Name	발타자르 소굴
	36	Name	야만인 요새
	37	Name	코르부의 납골당
	38	Name	공기의 성
	39	Name	브린 경의 무덤
	40	Name	불의 성
	41	Name	전쟁 야영지
	42	Name	해적 거점
	43	Name	버려진 해적 성채
	44	Name	레그나 지하 통로
	45	Name	소형 잠수함 격납고
	46	Name	에스카톤의 궁전
	47	Name	공기의 군주의 감옥
	48	Name	불의 군주의 감옥
	49	Name	물의 군주의 감옥
	50	Name	대지의 군주의 감옥
	51	Name	떠오른 도서관
	52	Name	다크 드워프 거주지
	53	Name	투기장
	54	Name	고대 트롤의 거처
	55	Name	이프 대사원
	56	Name	이프 예배당
	57	Name	이프 교회
	58	Name	늙은 로브의 동굴
	59	Name	일싱고어의 동굴
	60	Name	야드드레이크의 동굴
	61	Name	NWC
	62	Name	에메랄드 섬
	63	Name	하몬데일
	64	Name	에라시아
	65	Name	툴라리안 숲
	66	Name	데이자
	67	Name	브라카다 사막
	68	Name	이븐모른 섬
	69	Name	나이혼 산
	70	Name	고분 지대
	71	Name	거인들의 땅
	72	Name	타탈리아
	73	Name	아블리
	74	Name	여울
	75	Name	에라시아 하수도
	76	Name	미궁
	77	Name	글로밍 성
	78	Name	바의 신전
	79	Name	투기장
	80	Name	달의 신전
	81	Name	썬더피스트 산
	82	Name	툴라리안 동굴
	83	Name	타이탄 요새
	84	Name	번식 구역
	85	Name	안개의 장벽
	86	Name	클랭커의 연구소
	87	Name	조카르의 무덤
	88	Name	마법 학교
	89	Name	제6 감시탑
	90	Name	와인 저장고
	91	Name	타이드워터 동굴
	92	Name	마컴 경의 저택
	93	Name	달의 대사원
	94	Name	용병 길드
	95	Name	화이트 클리프 동굴
	96	Name	언덕 아래의 회관
	97	Name	링컨
	98	Name	스톤 시티
	99	Name	셀레스트
	100	Name	구덩이
	101	Name	조드 식민지
	102	Name	드래곤의 소굴
	103	Name	하몬데일 성
	104	Name	램번트 성
	105	Name	리버스트라이드 요새
	106	Name	나반 성
	107	Name	그리폰하트 성
	108	Name	레드 드워프 광산
	109	Name	나이혼 터널
	110	Name	이오폴로 가는 터널
	111	Name	유령 저택
	112	Name	제7고분
	113	Name	제4고분
	114	Name	제2고분
	115	Name	제14고분
	116	Name	제3고분
	117	Name	제9고분
	118	Name	제6고분
	119	Name	제1고분
	120	Name	제8고분
	121	Name	제13고분
	122	Name	제10고분
	123	Name	제12고분
	124	Name	제5고분
	125	Name	제11고분
	126	Name	제15고분
	127	Name	웜스랙스의 동굴
	128	Name	윌리엄 세탁의 탑
	129	Name	숨겨진 무덤
	130	Name	드래곤 동굴
	131	Name	도적 동굴
	132	Name	작은 집
	133	Name	빛의 신전
	134	Name	어둠의 신전
	135	Name	태양의 대사원
	136	Name	구덩이의 회관
	137	Name	스위트 워터
	138	Name	파라다이스 밸리
	139	Name	은둔자의 섬
