MapFile	StringId	Text
6D02.str	5	아이를 구출했습니다! 참으로 가부장적이군요.
6D02.str	6	이 바위는 박쥐 구아노로 뒤덮여 있습니다.
6D02.str	7	구아노를 채취해 주머니에 넣습니다.
6D02.str	8	"구아노를 조금 집었지만 담을 곳이 없습니다."
6D02.str	10	우리를 열고 뼈를 꺼냅니다.
6D04.STR	3	모두 호박을 지녀야 한다. 생명력을 바쳐라!
6D04.STR	9	"아, 맛있는 호박이로군!"
6D04.STR	17	불의 군주의 회관
6D05.STR	25	뼈에서 이상한 기운이 느껴집니다. (독 저항 +5 영구 증가)
6D05.STR	26	뼈에서 이상한 기운이 느껴집니다. (마법 저항 +5 영구 증가)
6D05.STR	31	뼈에서 이상한 기운이 느껴집니다. (힘 +5 영구 증가)
6D08.STR	7	딸깍!
6D08.STR	11	철컥!
6D08.STR	12	찰칵!
6D08.STR	18	"나를 볼 수도, 들을 수도, 만질 수도 없다. 나는 별들 뒤에 숨어 현실을 뒤바꾸며, 네가 진정 두려워하는 것이다. 눈을 감으면 내가 다가온다. 나는 무엇인가?"
6D08.STR	21	정답은?
6D08.STR	22	틀렸습니다.
6D08.STR	23	"나는 사과를 꿰뚫고, 길을 가리키기도 한다. 활에 걸렸다가 과녁에 박힌다. 나는 무엇인가?"
6D08.STR	26	"바위를 삼키고 산을 깎으며 나무를 썩게 하고 구름을 하늘로 밀어 보내며 젊은이를 늙게 하는 것은 무엇인가?"
6D08.STR	28	"숨 없이 살아 있고 죽음처럼 차갑다. 목마르지 않으나 늘 마시며, 비늘 갑옷을 입었으나 소리 나지 않는다. 늘 움직이지만 걷지 않고, 입을 움직이지만 말하지 않는다. 나는 무엇인가?"
6D09.STR	7	"책을 훑어보지만 흥미로운 것은 찾지 못했습니다."
6D09.STR	14	지력이 부족합니다!
6D10.STR	7	들켰습니다!
6D10.STR	8	젠장!
6D10.STR	9	저건 발소리인가?
6D11.str	4	이 문은 꼼짝도 하지 않습니다.
6D12.STR	1	해골 문
6D12.STR	5	"나는 존 실버 경이다. 내 부관이 마법사인 형제와 바의 신전 고위 사제와 함께 롤랜드 왕을 상대로 음모를 꾸미고 있음을 알아낸 뒤, 그 부관에게 비참하게 살해당했다. 기사단에는 더 이상 선한 자가 남아 있지 않다. 이런 말을 해야 한다는 사실이 내 영혼을 병들게 하는구나."
6D12.STR	6	"나는 존 실버 경이다. 내 부관이 마법사인 형제와 바의 신전 고위 사제와 함께 롤랜드 왕을 상대로 음모를 꾸미고 있음을 알아낸 뒤, 그 부관에게 비참하게 살해당했다. 배신한 부관에게서 내 조카 멜로디를 구해 준 것에 감사한다. 그 영웅적인 행동에 대한 보답으로 가까운 보물방의 비밀문을 열어 주겠다."
6D13.STR	2	드루이드 석상
6D13.STR	3	기묘한 나무
6D13.STR	5	신성한 연못
6D13.STR	6	사악한 제단
6D13.STR	10	나무를 뒤져 무언가를 찾아냅니다.
6D13.STR	11	드루이드와 성직자의 인격이 영구적으로 5 증가합니다.
6D13.STR	12	석상에 손을 대자 움직입니다.
6D13.STR	13	바위에 손을 대자 움직입니다.
6D13.STR	14	연못에 손을 대자 물결이 반짝입니다.
6D13.STR	15	모놀리스에 손을 대자 이상한 감촉이 느껴집니다.
6D13.STR	16	아무것도 찾지 못했습니다.
6D13.STR	17	나무에 손을 대자 흔들립니다.
6D13.STR	18	꽃에서 좋은 향기가 납니다.
6D13.STR	20	기묘한 바위
6D14.STR	8	연기 때문에 속이 메스껍습니다.
6D14.STR	9	뼈 사이에서 무언가를 찾아냅니다.
6D14.STR	10	벽감은 비어 있습니다.
6D14.STR	13	광인 에스릭의 무덤
6D15.STR	11	문은 꼼짝도 하지 않습니다.
6D15.STR	12	침대 주변에서 무언가를 찾아냅니다.
6D15.STR	13	멀리서 무언가 우르릉거립니다.
6D15.STR	14	침대는 비어 있습니다.
6D16.STR	5	문 너머로 끌려갑니다!
6D16.STR	7	문에는 자물쇠가 두 겹으로 걸려 있습니다.
6D16.STR	8	자물쇠를 따지 못했습니다.
6D16.STR	10	열쇠 두 개를 찾았습니다!
6D16.STR	11	열쇠를 찾았습니다!
6D16.STR	13	독수리 조각상입니다!
6D16.STR	15	이 문은 열리지 않습니다.
6D17.STR	5	진주를 찾았습니다.
6D17.STR	6	늑대 제단
6D17.STR	7	7일 후.
6D17.STR	12	늑대인간들이 우리를 도륙했습니다. 우리 영혼이 편히 쉴 수 있도록 복수해 주시겠습니까?
6D17.STR	13	대답은?
6D17.STR	16	두루마리를 찾았습니다.
6D17.STR	18	늑대의 소굴
6D19.STR	5	이 스위치를 누르자 불길한 느낌이 듭니다.
6D19.STR	6	이런...
6D19.STR	7	또 시작이군...
6D19.STR	8	스위치가 작동하지 않는 것 같습니다.
6D20.STR	4	드래곤 라이더의 동굴
6T1.STR	7	찌릿!
6T1.STR	18	나무 표지판에는 이렇게 적혀 있습니다. "바람이 불고 계절이 바뀌어, 모든 것이 끝에 이르러야 문이 열린다."
6T1.STR	19	고통받는 영혼들의 섬뜩한 비명이 귓가를 때립니다.
6T1.STR	20	은제 표지판에는 이렇게 적혀 있습니다. "바람이 불고 계절이 바뀌어, 모든 것이 끝에 이르러야 문이 열린다."
6T1.STR	21	구리 표지판에는 이렇게 적혀 있습니다. "바람이 불고 계절이 바뀌어, 모든 것이 끝에 이르러야 문이 열린다."
6T1.STR	22	청금석 표지판에는 이렇게 적혀 있습니다. "바람이 불고 계절이 바뀌어, 모든 것이 끝에 이르러야 문이 열린다."
6T1.STR	25	누군가의 희망과 꿈이 담긴 한 줌을 퍼냅니다.
6T1.STR	27	분수에 동전 몇 닢을 던집니다.
6T1.STR	30	문에서 딸깍 소리가 납니다.
6T2.STR	4	가득 찬 자루
6T2.STR	7	빈 통
6T2.STR	8	해골들이 힘을 빨아들이는 것 같습니다.
6T2.STR	9	사악한 수정을 파괴했습니다.
6T2.STR	10	횃불을 당기자 손안에서 움직입니다.
6T2.STR	15	주먹의 신전
6T4.STR	7	태양의 신전
6T5.STR	5	생명의 제단
6T5.STR	6	체력의 제단
6T5.STR	7	정확도의 제단
6T5.STR	8	속도의 제단
6T5.STR	9	행운의 제단
6T5.STR	10	달의 제단
6T5.STR	13	제단 앞에 무릎을 꿇고 잠시 묵도합니다.
6T5.STR	14	무엇보다 생명을, 힘보다 정확도를, 속도보다 체력을, 그리고 마지막으로 행운을.
6T5.STR	17	달의 신전
6T6.STR	9	불의 시련
6T6.STR	10	냉기의 제단
6T6.STR	11	냉기의 시련
6T6.STR	12	고통의 제단
6T6.STR	13	고통의 시련
6T6.STR	17	전기 저항이 영구적으로 10 증가합니다.
6T6.STR	19	냉기 저항이 영구적으로 10 증가합니다.
6T6.STR	22	당신은 자격이 없습니다!
6T7.STR	6	전문가 수준의 지각력이 열쇠이며, 그러면 바의 문이 너를 받아들이리라. 나선을 따른 뒤 각 머리에게 말하라. 그렇지 않으면 죽으리라.
6T7.STR	8	바 하나, 여기 있다.
6T7.STR	10	바 둘, 준비됐다.
6T7.STR	12	바 셋, 대기 중이다.
6T7.STR	14	바 넷, 실행한다.
6T7.STR	15	바! 바!
6T7.STR	16	전능한 바의 머리.
6T7.STR	17	당신은 바를 섬길 자격이 없습니다!
6T7.STR	18	바를 따르라! 경험치 +50,000.
6T7.STR	19	나아가 바의 말씀을 전파하라!
6T7.STR	20	책장
6T7.STR	22	상자는 잠겨 있습니다.
6T7.STR	23	용암 웅덩이
6T8.STR	5	손쉽게 자물쇠를 땄습니다.
6T8.STR	6	순간이동 장치입니다!
6T8.STR	7	자물쇠를 따지 못했습니다.
6T8.STR	10	뱀의 신전
7d07.STR	2	썬더피스트 산에서 나갑니다.
7d08.STR	2	툴라리안 동굴에서 나갑니다.
7d08.STR	13	낙석!
7d09.STR	2	타이탄 요새에서 나갑니다.
7d10.STR	2	번식 구역에서 나갑니다.
7d11.STR	2	안개의 장벽에서 나갑니다.
7d12.STR	2	클랭커의 연구소에서 나갑니다.
7d14.STR	2	마법 학교에서 나갑니다.
7d15.STR	2	제6 감시탑에서 나갑니다.
7d16.STR	2	뱀파이어 일가의 저택에서 나갑니다.
7d17.STR	2	타이드워터 동굴에서 나갑니다.
7d17.STR	13	낙석!
7d18.STR	2	마컴 경의 저택에서 나갑니다.
7d18.STR	20	마컴 경의 방에 들어갑니다.
7d18.STR	21	이 문은 잠겨 있습니다.
7d19.STR	2	달의 대사원에서 나갑니다.
7d19.STR	15	제단을 정화했습니다.
7d20.STR	2	용병 길드에서 나갑니다.
7d20.STR	12	흥미로운 것은 보이지 않습니다.
7d21.STR	2	화이트 클리프 동굴에서 나갑니다.
7d21.STR	13	낙석!
7d22.STR	2	언덕 아래의 회관에서 나갑니다.
7d22.STR	13	상쾌합니다!
7d22.STR	61	사과를 얻었습니다.
7d23.STR	2	링컨에서 나갑니다.
7d23.STR	11	동력이 복구되었습니다.
7d23.STR	20	함선에서 나가려면 모두 잠수복을 착용해야 합니다.
7d24.STR	2	스톤 시티에서 나갑니다.
7d24.STR	11	아무것도 없습니다.
7d24.STR	13	낙석!
7d25.STR	2	셀레스트에서 나갑니다.
7d25.STR	26	빛의 신전
7d25.STR	30	램번트 성에 들어갑니다.
7d25.STR	31	빛의 신전에 들어갑니다.
7d25.STR	32	안개의 장벽에 들어갑니다.
7d25.STR	70	모든 능력치가 일시적으로 25 증가합니다.
7d26.STR	2	구덩이에서 나갑니다.
7d26.STR	26	어둠의 신전
7d26.STR	27	번식 구역
7d26.STR	30	글로밍 성에 들어갑니다.
