Table (of Game struct)	Id	Field	New text
MessageScrolls	0		 검은 회춘 물약은 노화의 영향을 되돌리는 데 유용합니다. 이 물약을 조합하려면 각 기본 시약을 세 개씩 올바르게 조합해야 합니다. 
	1		 검은 순수한 힘 물약은 모든 모험가가 꿈꾸는 물약입니다. 힘을 영구적으로 높여 누구든 강력한 전사로 만들 수 있습니다. 이 물약을 조합하려면 빨간색 시약 네 개, 파란색 시약 두 개, 노란색 시약 한 개를 올바르게 조합해야 합니다.  
	2		 검은 순수한 정확도 물약은 모든 궁수가 꿈꾸는 물약입니다. 정확도를 영구적으로 높여 누구든 강력한 전사로 만들 수 있습니다. 이 물약을 조합하려면 노란색 시약 네 개, 빨간색 시약 두 개, 파란색 시약 한 개를 올바르게 조합해야 합니다.  
	3		 검은 순수한 인격 물약은 인격을 영구적으로 높입니다. 이에 따라 인격을 기반으로 계산되는 총 주문력이 증가합니다. 이 물약을 조합하려면 빨간색 시약 한 개, 파란색 시약 네 개, 노란색 시약 두 개를 올바르게 조합해야 합니다.  
	4		 검은 순수한 체력 물약은 모든 모험가가 꿈꾸는 물약입니다. 체력을 영구적으로 높여 누구든 강력한 전사로 만들고 생명력을 평소보다 크게 늘릴 수 있습니다. 이 물약을 조합하려면 빨간색 시약 두 개, 파란색 시약 네 개, 노란색 시약 한 개를 올바르게 조합해야 합니다.  
	5		 검은 순수한 지력 물약은 지력을 영구적으로 높이며, 지력을 기반으로 계산되는 총 주문력도 증가시킵니다. 이 물약을 조합하려면 빨간색 시약 한 개, 파란색 시약 두 개, 노란색 시약 네 개를 올바르게 조합해야 합니다.  
	6		 검은 순수한 속도 물약은 몬스터보다 먼저 행동하지 못하는 일행에게 해답이 될 수 있습니다. 속도를 영구적으로 높이면 더 빠르게 회복하고 몬스터보다 먼저 행동할 수 있습니다. 아무리 빨라도 지나치지 않습니다. 이 물약을 조합하려면 빨간색 시약 네 개, 파란색 시약 한 개, 노란색 시약 두 개를 올바르게 조합해야 합니다.  
	7		 검은 순수한 행운 물약은 함정 해제에 서툰 일행에게 해답이 될 수 있습니다. 행운을 영구적으로 높이면 함정이 작동하기 전에 몸을 피할 가능성이 커집니다. 행운은 많을수록 좋습니다. 이 물약을 조합하려면 빨간색 시약 두 개, 파란색 시약 세 개, 노란색 시약 세 개를 올바르게 조합해야 합니다.
	8		 검은 학살 물약은 일반 무기에 드래곤 학살 능력을 부여합니다. 이 물약을 조합하려면 빨간색 시약 세 개, 파란색 시약 세 개, 노란색 시약 두 개를 올바르게 조합해야 합니다.
	9		 검은 석화 해제 물약은 캐릭터의 석화 상태를 제거합니다. 이 물약을 조합하려면 빨간색 시약 세 개, 파란색 시약 두 개, 노란색 시약 세 개를 올바르게 조합해야 합니다.
	10		 흰 힘 증폭 물약은 필요할 때 힘을 일시적으로 높여줍니다. 이 물약을 조합하려면 빨간색 시약 세 개와 파란색 시약 두 개를 올바르게 조합해야 합니다.
	11		 흰 지력 증폭 물약은 필요할 때 지력을 일시적으로 높여줍니다. 이 물약을 조합하려면 파란색 시약 두 개와 노란색 시약 세 개를 올바르게 조합해야 합니다.
	12		 흰 인격 증폭 물약은 필요할 때 인격을 일시적으로 높여줍니다. 이 물약을 조합하려면 파란색 시약 세 개와 노란색 시약 두 개를 올바르게 조합해야 합니다.
	13		 흰 체력 증폭 물약은 필요할 때 체력을 일시적으로 높여줍니다. 이 물약을 조합하려면 빨간색 시약 두 개와 파란색 시약 세 개를 올바르게 조합해야 합니다.
	14		 흰 속도 증폭 물약은 필요할 때 속도를 일시적으로 높여줍니다. 이 물약을 조합하려면 빨간색 시약 세 개와 노란색 시약 두 개를 올바르게 조합해야 합니다.
	15		 흰 정확도 증폭 물약은 필요할 때 정확도를 일시적으로 높여줍니다. 이 물약을 조합하려면 빨간색 시약 두 개와 노란색 시약 세 개를 올바르게 조합해야 합니다.
	16		 흰 화염 물약은 일반 무기에 화염 속성을 부여합니다. 이 물약을 조합하려면 빨간색 시약 두 개, 파란색 시약 한 개, 노란색 시약 두 개를 올바르게 조합해야 합니다.
