Table (of Game struct)	Id	Field	New text
NPCDataTxt	0	Name	
	1	Name	브레키시 원팽
	2	Name	다데로스
	3	Name	엘가 펠문
	4	Name	아리온 헌터
	5	Name	바스티안 라우드린
	6	Name	알리안 프렐시그
	7	Name	오버듄 스냅핑거
	8	Name	아오리 데리사이
	9	Name	산드로
	10	Name	탄트
	11	Name	다이슨 릴런드
	12	Name	이카루스 다이어
	13	Name	마술
	14	Name	헬리우스
	15	Name	찰스 키호테 경
	16	Name	레지널드 도레이
	17	Name	데프트클로 레드리버
	18	Name	자칼 조그
	19	Name	잔토르
	20	Name	캐서린 여왕
	21	Name	롤랜드 왕
	22	Name	에스카톤
	23	Name	피라나스테
	24	Name	아크왈랜더
	25	Name	잔혹한 그랄코르
	26	Name	샬웬드
	27	Name	스톤
	28	Name	프레드릭 탈리미어
	29	Name	로트낵스
	30	Name	파스셀라 티스크
	31	Name	브레키시 원팽
	32	Name	다데로스
	33	Name	오스카 타이어
	34	Name	경비병
	35	Name	경비병
	36	Name	경비병
	37	Name	경비병
	38	Name	제릭 휘슬본
	39	Name	렐번 지브스
	40	Name	엘가 펠문
	41	Name	단틸리온 
	42	Name	카우리 블랙손
	43	Name	볼로그 샌드윈드
	44	Name	사힐 이탈레
	45	Name	경비병
	46	Name	다크 엘프 순례자
	47	Name	파힐 스냅핑거
	48	Name	잔토라
	49	Name	리앤 스톰랜스
	50	Name	더비시 셰브론
	51	Name	개럿 데베로
	52	Name	찰스 키호테 경
	53	Name	데프트클로 레드리버
	54	Name	오스카 타이어
	55	Name	마술
	56	Name	산드로
	57	Name	타니스
	58	Name	테살라
	59	Name	스티븐
	60	Name	태양의 성직자
	61	Name	버트리너스 테일셔
	62	Name	라시언
	63	Name	탄트
	64	Name	데린 델버
	65	Name	아이슬렌
	66	Name	랭귀드
	67	Name	홉 샌드윈드
	68	Name	시슬
	69	Name	히스
	70	Name	혀의 이스트릭
	71	Name	추적자 매디건
	72	Name	윌버트
	73	Name	라시우스
	74	Name	리한시
	75	Name	리버
	76	Name	켈던
	77	Name	갈비누스
	78	Name	탈리온
	79	Name	벨던
	80	Name	디르식
	81	Name	허스크
	82	Name	호버트
	83	Name	켈빈
	84	Name	폴
	85	Name	제비우스
	86	Name	슈메커
	87	Name	칼린드릴
	88	Name	카스티기어
	89	Name	발리온 티어윙
	90	Name	아발론
	91	Name	제린 플레임아이
	92	Name	젤림
	93	Name	탄틸리온
	94	Name	베네피스
	95	Name	할리엔
	96	Name	외눈
	97	Name	긴꼬리
	98	Name	트레블리드
	99	Name	기베어
	100	Name	마일랜더
	101	Name	위스퍼
	102	Name	이라벨 헌터
	103	Name	파벨
	104	Name	저니
	105	Name	네블릭
	106	Name	캐그너
	107	Name	블레이즌 스톰랜스
	108	Name	공포의 해적 스탠리
	109	Name	브라이언트 콘랜
	110	Name	카할리 이븐올
	111	Name	해리 메릿
	112	Name	에어리 루오드린
	113	Name	제이신 카드론
	114	Name	미욘 드래곤트래커
	115	Name	헤럴드 포스트라이크
	116	Name	재스프 헌터
	117	Name	개릭 센잭
	118	Name	퍼들 세인
	119	Name	셀리아 스톤
	120	Name	트리스텐 스틸워터
	121	Name	매트릭 타운세이버
	122	Name	아샨드라 위더스마이스
	123	Name	야로
	124	Name	로리 베스퍼스
	125	Name	조버 
	126	Name	칼라 니르세스
	127	Name	시반 킨아이
	128	Name	오베릭 노즈워트
	129	Name	솔리스
	130	Name	리샤 사워브로
	131	Name	로버트 모닝스타
	132	Name	하스스원 수사
	133	Name	타딘 
	134	Name	셰이머스 홀리필드
	135	Name	메드와리 엘름스마이어
	136	Name	토브렌 포지라이트
	137	Name	할리안 에버스마일
	138	Name	셀린 번킨들
	139	Name	본
	140	Name	보섬
	141	Name	세사인 아이언피스트
	142	Name	킬레인 무어
	143	Name	셸던 나이트우드
	144	Name	페린 리버스턴
	145	Name	타렌 템퍼
	146	Name	솔로몬 스틸
	147	Name	번
	148	Name	울브레히트 페더턴
	149	Name	그레고리 미스트
	150	Name	블랙 커런트
	151	Name	레시 
	152	Name	홀리스 스톰아이
	153	Name	클라우드 네들론
	154	Name	오스트린 그리빅
	155	Name	도로시 세이블우드
	156	Name	그리븐
	157	Name	스트래턴 호손
	158	Name	베톨드 컨
	159	Name	라시터 레이븐사이트
	160	Name	셰인 크룰런
	161	Name	바버라 로츠
	162	Name	길라드 드림라이트
	163	Name	제바 포이즈드
	164	Name	투고르 아린
	165	Name	크리티아스 스노트리
	166	Name	아치볼드 돈스글로
	167	Name	루니우스 돈브링어
	168	Name	알드린 클리어아이
	169	Name	팻윈 다켄모어
	170	Name	칼라 엄버풀
	171	Name	시시커스 섀도러너
	172	Name	플린 섀도르
	173	Name	더글러스 더스무어
	174	Name	페이지 아라크니아
	175	Name	페드윈 더비시
	176	Name	랜시 케이버힐
	177	Name	톤 아그레이넬
	178	Name	이시턴
	179	Name	어신트
	180	Name	클레인 스카윙
	181	Name	셰본 위스트
	182	Name	켈리 라이트핑거스
	183	Name	개러스 리프터
	184	Name	실크 나이트워커
	185	Name	헬가 스틸아이
	186	Name	발란 슈어트레일
	187	Name	피시너 톰
	188	Name	펜턴 아이버슨
	189	Name	레이븐 퀵텅
	190	Name	페트라 미스릿
	191	Name	개럿 미스트스프링
	192	Name	완다 라이트스원
	193	Name	앨턴 퍼트넘
	194	Name	그레친 네버모어
	195	Name	레너드 나이트크롤러
	196	Name	메나사우르 
	197	Name	케네스 오터턴
	198	Name	미켈 스미스슨
	199	Name	카이라 스파크먼
	200	Name	이시안 
	201	Name	엘즈벳 로겐
	202	Name	에반다르 로츠
	203	Name	퀵 제니 
	204	Name	케스린 톤크
	205	Name	테사 메이커
	206	Name	매트릭 킨에지
	207	Name	블래큰 스톤클리버
	208	Name	노버트 슬레이어
	209	Name	흉터투성이 라사틴
	210	Name	재스퍼 스틸코이프
	211	Name	태비사 워터셰드
	212	Name	케스리 트레저스톤
	213	Name	이크 
	214	Name	케스릭 태런트
	215	Name	윌리엄 샘슨
	216	Name	꼬리가 많은 우시
	217	Name	엘시 애플
	218	Name	질리언 애플비
	219	Name	채드릭 벤슨
	220	Name	모티 비스
	221	Name	아즈노그 블랙
	222	Name	톤크 블루스완
	223	Name	터곤 봄바
	224	Name	칸 보즈
	225	Name	케린 브레멘
	226	Name	클래더린 브라이트스피어
	227	Name	카드릭 케이버힐
	228	Name	크레인 수사
	229	Name	파운들린 디어헌터
	230	Name	이스람 델버
	231	Name	도츠
	232	Name	웰드릭 팰컨아이
	233	Name	데키안 파스웰
	234	Name	브랜드 페더윈드
	235	Name	킨들 펠번
	236	Name	애션 피들본
	237	Name	세스릭 피스트 
	238	Name	빅피스트 슬로스테퍼
	239	Name	제퍼
	240	Name	라라 갤로스웰
	241	Name	기즈모 버트럼 
	242	Name	헤더 고블린리버
	243	Name	벤저민 그린스톰
	244	Name	줄리언 그린스워드
	245	Name	마일스 그레이돈
	246	Name	제이비어 해비스트
	247	Name	이선 힐스먼
	248	Name	홀든
	249	Name	칼린 아이버스
	250	Name	새뮤얼 잭
	251	Name	페이지 캐런드
	252	Name	브리검 키니
	253	Name	토머스 라라셀
	254	Name	아사엘 프로마고
	255	Name	바잘라스
	256	Name	롬워커
	257	Name	소일
	258	Name	윙세일
	259	Name	베이퍼
	260	Name	리버글래스
	261	Name	클리어크릭
	262	Name	데블린 아르카누스
	263	Name	프레드릭 탈리미어
	264	Name	사이먼 템플러
	265	Name	오버듄 스냅핑거
	266	Name	아리우스
	267	Name	로하니 오슬턴
	268	Name	엘스베스 라멘티아
	269	Name	이실고어
	270	Name	카라냐 메모리아
	271	Name	마일랜더 
	272	Name	리앤 스톰랜스
	273	Name	볼로그 샌드윈드
	274	Name	타니스
	275	Name	재스프 셀본
	276	Name	게스릭 머큐투라
	277	Name	플램드링
	278	Name	헤바티아 데베르베로
	279	Name	베리시 
	280	Name	넬릭스 우리엘
	281	Name	세스릭 시슬본
	282	Name	리오넬
	283	Name	애드릭 스텔라레
	284	Name	인파우스투스 
	285	Name	브림스톤
	286	Name	버트리너스 테일셔
	287	Name	더비시 셰브론
	288	Name	템푸스 
	289	Name	손 언더스톤
	290	Name	울브레히트
	291	Name	카우리 블랙손
	292	Name	아르토리우스 베리타스
	293	Name	영원한 듀로스
	294	Name	너새니얼 로버츠
	295	Name	다이슨 레일런드
	296	Name	블레이즌 스톰랜스
	297	Name	트롤
	298	Name	미노타우로스
	299	Name	다크 엘프
	300	Name	뱀파이어
	301	Name	드래곤
	302	Name	강령술사
	303	Name	성직자
	304	Name	기사
	305	Name	트롤
	306	Name	미노타우로스
	307	Name	다크 엘프
	308	Name	뱀파이어
	309	Name	드래곤
	310	Name	드래곤
	311	Name	엠버
	312	Name	이븐블레이즈
	313	Name	투기장 관리자
	314	Name	오라클
	315	Name	데이비 세일
	316	Name	에릭 자블로어
	317	Name	자레나 마몬
	318	Name	해적 폴
	319	Name	요엘 워그린
	320	Name	포르도
	321	Name	비시
	322	Name	페리스
	323	Name	전직 선장 테런스
	324	Name	페넬라 펀
	325	Name	디어드라 월리스
	326	Name	날라니
	327	Name	레타 머서
	328	Name	리자드맨 농민
	329	Name	리자드맨 경비병
	330	Name	다크 엘프 농민
	331	Name	다크 엘프 경비병
	332	Name	오우거 농민
	333	Name	웨어랫 농민
	334	Name	트롤 농민
	335	Name	드래곤 사냥꾼
	336	Name	강령술사 농민
	337	Name	성직자 농민
	338	Name	레그나 농민
	339	Name	미노타우로스 농민
	340	Name	마컴 경
	341	Name	판사 토머스
	342	Name	도슨트 마거릿
	343	Name	음유시인 알리사
	344	Name	샐리
	345	Name	말윅 씨
	346	Name	샐 샤크투스
	347	Name	브렌트 필리언트
	348	Name	캐럴린 웨더스
	349	Name	로저 텔마
	350	Name	윌리엄 다비스
	351	Name	도나 위리스
	352	Name	그랜트 발란디르
	353	Name	미아 루실
	354	Name	윌리엄 래스커
	355	Name	세크닛 언더섀도
	356	Name	찰스 키호테 경
	357	Name	윌리엄 세탁
	358	Name	도슨트 마거릿
	359	Name	도슨트 마거릿
	360	Name	도슨트 마거릿
	361	Name	도슨트 마거릿
	362	Name	도슨트 마거릿
	363	Name	도슨트 마거릿
	364	Name	도슨트 마거릿
	365	Name	도슨트 마거릿
	366	Name	도슨트 마거릿
	367	Name	도슨트 마거릿
	368	Name	도슨트 마거릿
	369	Name	도슨트 마거릿
	370	Name	도슨트 마거릿
	371	Name	도슨트 마거릿
	372	Name	도슨트 마거릿
	373	Name	도슨트 마거릿
	374	Name	도슨트 마거릿
	375	Name	도슨트 마거릿
	376	Name	도슨트 마거릿
	377	Name	바솔로뮤 흄
	378	Name	스테판 샌드
	379	Name	로런스 마크
	380	Name	스티걸 스닉
	381	Name	레다 로언
	382	Name	프레더릭 오그
	383	Name	라이샌더 스위트
	384	Name	에베드네저 소어
	385	Name	리베카 디바인
	386	Name	다이달로스 포크
	387	Name	토머스 그레이
	388	Name	하프길드 위낙
	389	Name	앤서니 그린
	390	Name	토르 앤윈
	391	Name	요정왕
	392	Name	가장 오래된 나무
	393	Name	앨리스 하그리브스
	394	Name	바솔로뮤 흄
	395	Name	골렘
	396	Name	아기 드래곤
	397	Name	집사
	398	Name	호스파르 9세
	399	Name	드라센 켈딘
	400	Name	제이센 켈딘
	401	Name	야로 켈딘
	402	Name	포실 켈딘
	403	Name	레드 켈딘
	404	Name	톰 켈딘
	405	Name	아르빈 켈딘
	406	Name	엘런 록웨이
	407	Name	알랭 하니
	408	Name	캐서린 여왕
	409	Name	엘프왕
	410	Name	로렌 스틸
	411	Name	가짜 로렌
	412	Name	전령
	413	Name	그레이 판사
	414	Name	라이트 대사
	415	Name	스케일 대사
	416	Name	페어웨더 판사
	417	Name	슬린 판사
	418	Name	개빈 매그너스
	419	Name	레저렉트라
	420	Name	크랙 핵
	421	Name	카네검 경
	422	Name	현자 로버트
	423	Name	카스토어
	424	Name	막시무스
	425	Name	어둠의 그림자
	426	Name	톨베르티
	427	Name	아치볼드 아이언피스트
	428	Name	빛의 신전
	429	Name	어둠의 신전
	430	Name	전령
	431	Name	카민 부인
	432	Name	타린 위던
	433	Name	마짐 더스크
	434	Name	대브릭 펠라디움
	435	Name	노버트 스러시
	436	Name	요한 케리드
	437	Name	전령
	438	Name	나일스 스탠틀리
	439	Name	스파크 번킨들
	440	Name	톤 위더스마이스
	441	Name	엘시 페더턴
	442	Name	질리언 미스릿
	443	Name	페이지 리븐힐
	444	Name	투고르 슬라이서
	445	Name	채드릭 타운세이버
	446	Name	모티 오틴
	447	Name	아즈노그 슬래셔
	448	Name	톤켄 피스트
	449	Name	터곤 우드스플리터
	450	Name	달린 킨에지
	451	Name	칸 스톤클리버
	452	Name	케린 그레이돈
	453	Name	클래더린 실버포인트
	454	Name	셀린 팰컨아이
	455	Name	제이신 슈어트레일
	456	Name	랜시 레이븐사이트
	457	Name	굳건한 카드릭
	458	Name	알드린 탬록
	459	Name	로스햄 수사
	460	Name	팻윈 펠번
	461	Name	루니우스 섀도르
	462	Name	아치볼드 아이언피스트
	463	Name	그랜드마스터 블래스터
	464	Name	파운들린 로츠
	465	Name	이스람 갤로스웰
	466	Name	페드윈 스미스슨
	467	Name	더글러스 아이버슨
	468	Name	라비사 네들론
	469	Name	날쌘 미욘
	470	Name	길라드 비스
	471	Name	메드와리 드래곤트래커
	472	Name	할리안 네버모어
	473	Name	웰드릭 로츠
	474	Name	데키안 포지라이트
	475	Name	제작자 브랜드
	476	Name	킨들 트레저스톤
	477	Name	애션 템퍼
	478	Name	블레이즈 
	479	Name	세스릭 윈드송
	480	Name	리슬린 그린스톰
	481	Name	게일
	482	Name	헤럴드 화이트캡
	483	Name	토브렌 레인실드
	484	Name	토런트
	485	Name	요한슨 컨
	486	Name	라라 스톤라이트
	487	Name	애벌랜치
	488	Name	버트럼 스틸워터
	489	Name	헤더 드림라이트
	490	Name	균형 잡힌 벤저민
	491	Name	탐험가 줄리언
	492	Name	마일스 페더윈드
	493	Name	제이비어 브레멘
	494	Name	스트래턴 힐스먼
	495	Name	봄바 수사
	496	Name	템푸스
	497	Name	이선 라이트스원
	498	Name	헬레나 모닝스타
	499	Name	셰이머스 돈브링어
	500	Name	밤을 기는 자 재스프
	501	Name	세스 다켄모어
	502	Name	칼린 아라크니아
	503	Name	펜턴 크룰런
	504	Name	새뮤얼 벤슨
	505	Name	페이지 블루스완
	506	Name	매트릭 웨더슨
	507	Name	베톨드 케이버힐
	508	Name	검소한 브리검
	509	Name	셰인 토머스
	510	Name	토머스 무어
	511	Name	수리공 개러스
	512	Name	켈리 홀리필드
	513	Name	완다 포스트라이크
	514	Name	에반다르 토머스
	515	Name	바버라 와이즈먼
	516	Name	테사 그린스워드
	517	Name	케인
	518	Name	그레고리 와이더
	519	Name	개럿 도츠
	520	Name	페트라 클리어아이
	521	Name	킬레인 라라셀
	522	Name	로버트 사워브로
	523	Name	클라우드 아그레이넬
	524	Name	도둑질 전문가
	525	Name	도둑질 달인
	526	Name	도둑질 그랜드마스터
	527	Name	그레친 피들본
	528	Name	레너드 스키너
	529	Name	실크 퀵텅
	530	Name	셸던 미스트
	531	Name	오베릭 크레인
	532	Name	케네스 웨인
	533	Name	키라 스틸아이
	534	Name	싸움꾼 울브레히트
	535	Name	노리스 
	536	Name	앨턴 블랙
	537	Name	제니 스위프트풋
	538	Name	사냥꾼 레이븐
	539	Name	에드거 보섬
	540	Name	폴라 브라이트스피어
	541	Name	학살자 라시터
	542	Name	페린 라이트핑거스
	543	Name	리앤 섀도러너
	544	Name	에버릴 나이트워커
	545	Name	에드거 윌로바크
	546	Name	엘즈벳 윈터스푼
	547	Name	루시드 애플
	548	Name	애거사 퍼트넘
	549	Name	도로시 센잭
	550	Name	윌리엄 스미스슨
	551	Name	개릭 호손
	552	Name	플린 아린
	553	Name	웃는 잭
	554	Name	워트 고블린리버
	555	Name	커샌드라 홀든
	556	Name	윌 루디먼
	557	Name	노버트 해비스트
	558	Name	블래스터 전문가
	559	Name	랜덜 울버턴
	560	Name	미켈 디어헌터
	561	Name	트리시아 스틸코이프
	562	Name	크리티아스 번킨들
	563	Name	리샤 레딩
	564	Name	카이라 스톰아이
	565	Name	칼라 레이븐헤어
	566	Name	재스퍼 웰먼
	567	Name	솔로몬 리버스톤
	568	Name	헬가 화이트스카이
	569	Name	트리스텐 하스스원
	570	Name	셀리아 스파크먼
	571	Name	블래큰 리버스턴
	572	Name	진실한 홀리스
	573	Name	조버 세인
	574	Name	발란 기즈모
	575	Name	트립 소린슨
	576	Name	스튜어트 화이트스카이
	577	Name	케스릭 오터턴
	578	Name	외교술 전문가
	579	Name	도둑질 전문가
	580	Name	운반꾼 타렌
	581	Name	스파이더 
	582	Name	퍼들 스톤
	583	Name	크리스티 노즈워트
	584	Name	트렌트 스틸
	585	Name	집게손 엘모
	586	Name	브라이스 워터셰드
	587	Name	아이작 애플비
	588	Name	매트릭 보즈
	589	Name	케스리 돈스글로
	590	Name	리타 로겐
	591	Name	칼라 태런트
	592	Name	패트리스 베스퍼스
	593	Name	로리 윈터브라이트
	594	Name	일린 파스웰
	595	Name	태비사 미스트스프링
	596	Name	재닛 토머스
	597	Name	데니스 케이버힐
	598	Name	페드론 세이블우드
	599	Name	데번 아이버스
	600	Name	테레즈 엄버풀
	601	Name	펠딘 어스스마이트
	602	Name	앨리스 나이트우드
	603	Name	윌버 에버스마일
	604	Name	말리샤 캐런드
	605	Name	야로 엘름스마이어
	606	Name	틸가르 더스무어
	607	Name	아샨드라 스노트리
	608	Name	로널드 키니
	609	Name	헤더 카드론
	610	Name	할레인 샘슨
	611	Name	론 더비시
	612	Name	경비병
	613	Name	경비병
	614	Name	경비병
	615	Name	경비병
	616	Name	성 경비병
	617	Name	성 경비병
	618	Name	성 경비병
	619	Name	성 경비병
	620	Name	에릭 스워럴
	621	Name	경비병
	622	Name	경비병
	623	Name	세스 드랙슨
	624	Name	대런 템퍼
	625	Name	게리 짐
	626	Name	롤랜드 아이언피스트
	627	Name	톰 럼브라
	628	Name	퍼디낸드 비스콘티
	629	Name	지나 반스
