Table (of Game struct)	Id	Field	New text
NPCGreet	0	0	
	1	0	당신을 찾아서 다행입니다! 다른 경비병들은 하나도 보이지 않았는데, 당신만은 찾았습니다! 레그나 해적들이 섬을 공격하고 있습니다. 대상단장 다데로스에게 알려야 합니다. 그는 마을 족장을 만나고 있습니다. 그를 찾으십시오! 나는 마차로 돌아가 지키겠습니다.
	2	0	안녕하시오, 숙련자여! 우리가 처한 곤경에 대해 브레키시 원팽과 이야기하고 있었습니다. 부족장이라면 이 섬들을 빠져나가 레이븐쇼어로 돌아갈 방법을 알고 있을지도 모릅니다.
	3	0	대거 운드 섬에 온 것을 환영하오, 알바르의 숙련자여. 나는 부족장 브레키시 원팽이오. 더 나은 때에 그대를 맞이했으면 좋았을 텐데. 불의 산이 우리 마을과 주민들에게 심각한 피해를 입혔소. 많은 건물이 파손되었고, 작은 섬들과 본섬을 잇던 다리들도 무너졌소! 많은 이들이 실종되거나 작은 섬들에 고립되어 있소! 우리가 그들을 도와야 하오!
	4	0	대거 운드 섬이 레그나의 습격을 받았다고 알바르 상인들에게 알려야 합니다! 그들이 지원을 보내야 합니다!
	5	0	뭐요? 지금은 이야기할 시간이 없소! 짐을 챙겨 떠나야 하오!
	6	0	알바르에서 온 상단과 함께 온 분 아닙니까? 도와주십시오!
	7	0	세상이 끝장날 거야! 불의 산이 우리 모두를 집어삼킬 거라고!
	8	0	여기서 뭐 하는 거요? 내 편지를 펠문에게 전하시오!
	9	0	승선을 환영합니다! 바다가 잔잔하고 항해가 순조롭기를!
	10	0	레이븐쇼어의 알바르 상인회관에 오신 것을 환영합니다. 저는 엘가 펠문입니다. 무엇을 도와드릴까요?
	11	0	내가 부탁한 일을 해냈소?
	12	0	좋소...내 경비병들을 쓰러뜨렸군. 휴전이오. 나는 아리온 헌터요. 이 모든 일을 내가 운영한다고 보면 되오. 원하는 게 뭐요?
	13	0	멈추시오! 길드 회원과 동행하지 않으면 안쪽 방으로 들어갈 수 없소.
	14	0	알바르 상인회관에 오신 것을 환영합니다. 나는 수석 길드장 바스티안 라우드린이오. 이곳에서 알바르의 무역 제국을 운영하고 있소.
	15	0	이번 위기에 맞서 동맹에 합류할 만한 세력들을 확인했소. 라비지 로밍의 미노타우로스, 머머우즈 태양의 신전의 성직자, 가로트 협곡의 드래곤, 섀도스파이어의 강령술사 길드, 그리고 가로트 협곡에 있는 찰스 키호테 경의 드래곤 사냥꾼 야영지요.우리 중 누구도 그들 모두를 협력시킬 수 있으리라 믿지는 않소. 하지만 우리와 트롤들이 이미 동맹에 합류했으니, 다섯 세력 중 셋만 동참해도 충분할 것이오.우선 마을 북쪽 끝에 사는 사힐 이탈레와 이야기해 보시오. 그는 우리 길드의 역사가이며, 잠재적 동맹들의 성향을 설명해 줄 가장 적합한 사람이오.
	16	0	나는 오버듄이오. 러스트 마을을 위해 고기를 사냥했소. 불의 호수가 생겨 우리 집을 파괴하기 전까지는 말이오.
	17	0	날 내버려 두시오. 아들 바일바이트의 죽음을 애도하고 있소.
	18	0	아-아들 바일바이트에게 안식을 주어 고맙소.
	19	0	바스티안 라우드린의 보호를 받고 있기 때문에 그대들에게 알현을 허락한 것이오. 그대들은 자데임 드래곤들의 최고 편대장 데프트클로 레드리버 앞에 서 있다는 것을 명심하시오. 나는 한가하게 지체할 사람이 아니오. 용건을 말하시오!
	20	0	무슨 용건이오?
	21	0	찰스 키호테 경이 그대들을 맞이하오. 내 야영지 본부에 온 것을 환영하오. 이곳에서 사냥 원정을 지휘하고 있소.거래하러 왔소? 내 물품 대부분은 이미 주문이 잡혀 있소. 하지만 새끼 드래곤 몇 마리는 팔 수 있고, 낮은 등급의 성체 가죽도 조금은 내줄 수 있소.
	22	0	마침 잘 오셨군요. 레이븐쇼어로 떠날 준비가 거의 끝났지만, 무엇을 도와드릴까요?
	23	0	긴 여정이었지만 드디어 도착했군요. 다시 만나 반갑습니다.
	24	0	동맹 만세! 그동안 잘 지냈습니까?
	25	0	그래서 급히 레이븐쇼어로 왔소. 벌써 먹잇감 짐승들 사이에서 사는 데 지쳐 가는군. 이 동맹의 일을 서두르는 게 좋을 것이오!
	26	0	오랫동안 여행을 하지 않았습니다. 이 땅의 곳곳이 얼마나 아름다운지 잊고 있었군요. 현재의 위기를 해결할 날이 기대됩니다. 그러고 나면 오랫동안 미뤄 온 휴가를 떠날 수 있다는 건 그 이유 중 가장 사소한 것에 불과하니까요.
	27	0	다시 만나 반갑습니다, 친구들이여. 당신들 덕분에 발타자르 소굴은 잘되어 가고 있습니다. 우리 무리는 벌써 집과 상점을 복구하는 데 큰 진전을 이루었습니다. 복구된 도시를 방문해 보셨습니까?
	28	0	태양의 신전과의 전쟁은 우리에게 유리하게 진행되고 있습니다. 떠나기 전에 섀도스파이어 국경이 안전해진 것을 확인했습니다. 우리 병력은 날마다 그들을 머머우즈의 본신전 쪽으로 밀어내고 있습니다.다시 한번 강령술사 길드를 대표해 감사드립니다. 이제 당면한 일을 처리합시다.
	29	0	안녕하시오. 나는 발타자르 소굴의 무리장 마술이오. 우리 무리를 구해 준 데 대해 감사드리오. 우리는 파멸할 운명이라고 확신했지만, 이제는 살아남을 수 있을 듯하오. 소굴을 재건할 날이 기대되는군.
	30	0	뭐...누구냐? 누구야! 내가 다쳤다고 만만한 먹잇감으로 보지 마라, 약탈자들아! 내 도끼는 날카롭고, 그리고...그리고...어이...당신들은 약탈자가 아니군! 누구요?
	31	0	반갑소. 나는 산드로요. 탄트와 나는 강령술사 길드의 수석 길드장이오. 에라시아와 엔로스에서 우리의 세력이 약해졌으니, 우리가 전 세계의 길드를 대표한다고 해도 틀린 말은 아니오.바스티안 라우드린의 사절들이라고 들었소. 그가 우리에게 원하는 게 무엇이오?
	32	0	하! 태양의 신전이 우리에게 갖고 있던 유일한 우위도 이제 사라졌군. 나이트셰이드 화로를 되찾았으니 더는 낮 동안 섀도스파이어를 방어할 걱정이 없소. 언데드 군대를 그들의 문 앞까지 진군시킬 수 있소. 그들의 신전을 파괴하고 자데임에서 흔적조차 지워 버릴 것이오! 이제 전세가 우리에게 유리하게 돌아섰으니 강령술사 길드는 친구 바스티안 라우드린의 요청을 더 너그럽게 검토할 수 있소. 내가 동맹 의회에 참석하는 동안 탄트가 이곳을 맡을 것이오.
	33	0	누구요? 낯선 얼굴이군. 하지만 무슨 용건이든 내 골칫거리를 더 늘릴 게 분명하오.
	34	0	그렇군, 산드로가 태양의 신전을 공격해 달라고 했소! 나는 길드가 증오스럽지만, 당신들을 돕겠소. 복수는 절반만 해도 아예 못 하는 것보다는 나으니까.
	35	0	아, 지고하신 성하께서 보낸 이들이군...오스카 타이어가 자신의 요원을 움직이려는 모양이오. 그가 잘되기를 바라지는 않지만, 요구에는 따르겠소. 그래, 나는 길드의 해골 변환기에 대해 알고 있고 그것을 파괴할 수 있다고 생각하오. 좋소, 강령술사 길드에 맞서 이 일을 합시다. 적어도 내 원수 중 하나는 공격할 수 있겠군!
	36	0	하! 산드로와 오스카 타이어가 모두 나를 이용해 상대를 공격하려 하는군. 이런 일이 생길 가능성은 생각해 두었소. 한쪽을 공격하면 다른 쪽은 공격할 수 없게 될 것 같소.그러니 길드를 도울지 신전을 도울지 선택해야겠군. 어느 쪽이냐고? 모르겠소. 둘 다 똑같이 증오하니까. 결국 절반짜리 복수에 만족해야 할 것 같군.
	37	0	바스티안 라우드린이 보냈다고? 그렇군. 그가 우리에게 무엇을 전하려 하는 것이오?
	38	0	자데임의 영웅들이여, 만세! 돌아와 주어 기쁘오. 상인 길드는 이 길드회관을 영원히 당신들에게 개방하기로 했다는 것을 분명히 말해 두겠소. 위기가 끝나 다른 의원들은 고향으로 돌아갔소. 그들은 떠났지만 우리 사이의 우호는 계속될 것이오. 새로운 평화의 시대가 시작되는 걸까? 두고 봐야겠지. 분명한 것은 번영의 시대라는 점이오! 우리 대상단도 벌써 다시 움직이고 있소.
	39	0	아, 다시 만나니 정말 반갑소. 큰 문제들은 대부분 지나간 것 같군, 그렇지 않소? '자데임의 영웅들'께서 내 야영지에는 무슨 일로 오셨소?
	40	0	우리는 함께 위대한 일을 해냈소. 언젠가 후계자에게 이 이야기를 들려줄 날이 기대되는군. 영웅들이여, 무엇을 도와드리겠소?
	41	0	빛이 참으로 우리를 비추었군요. 우리 신전은 언제나 '자데임의 영웅들'에게 열려 있습니다. 무엇을 도와드릴까요?
	42	0	몸소 찾아 주시다니 영광이오. 자데임의 영웅들, 발타자르 소굴의 구원자들. 우리 무리와 자데임 전체를 위해 그토록 많은 일을 한 당신들에게 두 칭호 모두 잘 어울리오!
	43	0	만세! 길드를 대표해 환영하오. 자데임의 영웅들이여, 우리는 당신들을 친구로 여기고 있소. 오늘은 우리에게 무엇을 바라시오?
	44	0	내 주인 잔토르를 찾는 거라면 그는 이곳에 없소. 내가 도와드릴까요?
	45	0	흥. 그대들이 동맹의 영웅들이군. 겉보기엔 별것 없어 보이는군. 그래도 오늘까지 살아남았으니 많은 일을 겪었겠지. 운명이 그대들에게 맡길 일을 감당할 수 있기만 바라겠소. 그렇지 못하면 우리 모두 틀림없이 파멸할 테니까!
	46	0	됐소. 완성했소. 이 컨플럭스 열쇠를 받으시오. 설명했듯이, 이것을 사용하면 마을 광장의 수정을 관문으로 쓸 수 있소. 원소 차원으로 향할 때 사용했던 원소 관문과 비슷하오. 수정 관문은 그대들을 차원 사이의 장소로 데려갈 것이오.이 '차원 사이의 차원'에서 대재앙의 근원을 찾아야 하오. 그것이 무엇인지는 모르지만, 무엇이든 그곳에 있소. 어서 가시오! 유감스럽게도 이 땅의 운명이 그대들의 어깨에 달렸소. 그 임무에 걸맞은 모습을 보이시오!
	47	0	그대들은 훌륭히 행동했소. 솔직히 능력을 의심했지만 이제는 아니오. 사람들이 쏟아붓는 찬사를 받을 자격이 충분하오.
