Table (of Game struct)	Id	Field	New text
NPCNews	0		이 문구가 보이면 제임스에게 알려 주세요.
	1		해적들이 우리 전사들을 뚫고 들어오면 우리는 정말 끝장이에요!  
	2		해적들을 물리쳐 주셔서 감사합니다! 이제 불의 산만 어떻게 해 주신다면 좋을 텐데요!
	3		블러드 드롭 마을로 돌아갈 길이 없어요! 가족들이 살아 있는지조차 알 수가 없어요!
	4		돌의 관문을 통해 오셨다고요? 관문이 작동하나요? 이제 가족들에게 돌아갈 수 있겠군요!
	5		으악! 싸움에 끼어들든가, 아니면 길을 비켜!
	6		누군가 다이어 울프들이 소굴로 쓰는 동굴을 쓸어 버려야 해요. 걱정거리 하나만 줄어도 사정이 조금은 나아질 텐데요!
	7		세상의 종말이 가까웠다는 소문을 들었어요. 마을 한가운데 있는 저 수정을 보면 그 말을 믿고 싶어질 정도예요!
	8		어젯밤에도 그 흉측한 웨어랫 무리가 우리 집 뒤에 나타났어요. 누군가 그 역겨운 작은 괴물들을 처리해야 해요. 해충 같은 놈들과 다이어 울프들 사이에서 우리 아이들이 무사한 게 놀라울 지경이에요!
	9		우리를 해치지 말아 주세요! 아리온 헌터가 이제 우리는 친구라고 했어요!
	10		이 은혜는 영원히 잊지 않겠습니다! 레이븐쇼어와 자데임 전역을 구해 주셨습니다!
	11		대거 운드 섬을 지키기 위해 대포를 쏴 보시겠습니까?
	12		도와주세요! 해적들을 섬에서 몰아내지 못하면 모든 것이 끝장입니다!
	13		해적 전초기지가 무너져 우리 보금자리가 다시 안전해졌습니다! 감사합니다!
	14		오우거들이 일상생활에 점점 더 큰 골칫거리가 되고 있어요. 누군가 요새의 오우거들을 처리해 준다면 상황이 나아질지도 모르겠군요!
	15		전사 말벌들이 이곳 남동쪽에 거대한 둥지를 지었어요. 둥지가 너무 커지면 도시에 위협이 될 수도 있습니다.
	16		자데임 각지의 소식이 알바르에 도착하는 데 너무 오래 걸리고 있어요. 상인들은 세상에 무슨 일이 벌어지는지 알고 있을까요?
	17		불의 바다가 우리 마을을 파괴했어요! 여기서 얼마나 더 살아갈 수 있을지 모르겠군요.
	18		마을이 파괴된 마당에 이제 사이클롭스 약탈대까지 쳐들어오면 딱이겠군요! 그러면 우리 운명은 끝장이며 모두 죽고 말 겁니다!
	19		마을 북쪽에 이상한 동굴이 생겼어요. 불의 바다가 마을을 폐허로 만든 직후 나타났지요. 기묘한 생물들이 그 동굴을 드나드는 모습도 목격됐습니다. 안에 무엇이 있을까요?
