Table (of Game struct)	Id	Field	New text
NPCNewsTopics	0		앗, 오류 텍스트
	1		해적 전초기지를 격파하기 전 대거 운드 본섬의 주민들
	2		해적 전초기지를 격파한 후 대거 운드 본섬의 주민들(Questbit 6)
	3		순간이동 장치를 수리하기 전 작은 섬들의 주민들
	4		순간이동 장치를 수리한 후 작은 섬들의 주민들(questbit 2)
	5		대거 운드 섬의 해적들
	6		늑대
	7		레이븐쇼어 도시의 주민들
	8		웨어랫
	9		펠문의 편지를 전달한 후 밀수꾼의 만의 웨어랫들(Questbit 4). 던전의 쥐들
	10		게임 완료 후 모든 주민들
	11		리자드맨 감시병/대포
	12		리자드맨 전사
	13		퀘스트 비트 6 이후의 리자드맨 전사
	14		오우거
	15		말벌
	16		소식
	17		아이언샌드/러스트의 주민들
	18		아이언샌드/러스트의 주민들
	19		아이언샌드/러스트의 주민들
	20		요새의 드래곤 사냥꾼
	21		요새의 드래곤 사냥꾼
	22		훈련소의 드래곤 사냥꾼
	23		섀도스파이어의 주민들
	24		섀도스파이어의 주민들
	25		섀도스파이어의 주민들
	26		머머우즈의 주민들
	27		머머우즈의 주민들
	28		조그의 요새 근처 라비지 로밍의 오우거들
	29		선착장 근처 라비지 로밍의 오우거들
	30		레그나의 주민 해적들
	31		레그나의 주민 해적들
	32		레그나의 주민 해적들
	33		발타자르 소굴의 주민 미노타우로스들
	34		물
	35		마술
	36		
	37		 
	38		 
	39		성직자(area 7)
	40		성직자(area 7)
	41		길드의 강령술사들
	42		길드의 강령술사들
	43		드래곤 사냥꾼 요새 내부의 도적들
	44		동맹이 된 드래곤들
	45		동맹이 된 드래곤들
	46		
	47		
	48		
	49		
	50		말을 하지 않는 우호적 몬스터에 사용
	51		기본 변경 필요 텍스트
	52		농민
	53		모험가
	54		매복자
	55		경비병
	56		"농민 메시지 2, 에메랄드 섬"
	57		"모험가 메시지 2, 에메랄드 섬"
	58		
	59		
	60		
	61		하몬데일 남부 마을 집단
	62		영주들
	63		에라시아의 천막 야영지
	64		스테드윅
	65		엘프 수도
	66		피어폰트
	67		걸어 다니는 시체
	68		데이자
	69		브라카다의 마구간 및 순간이동 시설 주민들
	70		브라카다 동부 마을 및 선착장 주민들
	71		브라카다 능선의 행인들
	72		셀레스트
	73		환영
	74		구덩이 첫 번째 구역의 주민들
	75		구덩이 두 번째 구역의 주민들
	76		구덩이 세 번째 구역의 주민들
	77		나이혼 중심 마을의 주민들
	78		나이혼 서부 마을의 주민들
	79		나이혼 동부 마을의 주민들
	80		용병 길드 마을의 주민들
	81		부두 마을의 주민들
	82		마을 구역의 주민들
	83		선착장 구역의 주민들
	84		선 엔딩 이후의 주민들
	85		악 엔딩 이후의 주민들
	86		6/7편 엔딩 이후의 주민들
	87		5/8편 엔딩 이후의 주민들
	88		
	89		
	90		
	91		
	92		
	93		
	94		
	95		
	96		
	97		
	98		
	99		
	100		
	101		
	102		고블린워치
	103		바의 신전
	104		산적
	105		해상 여행
	106		오라클
	107		니콜라이 왕자
	108		하지와 동지
	109		투기장
	110		고블린
	111		견습 마법사
	112		모드레드
	113		마법사
	114		버려진 신전
	115		바의 신전
	116		저주
	117		보물
	118		고블린워치
	119		마도사
	120		마을 분수
	121		고블린 약탈자
	122		뉴 소르피갈
	123		과일나무
	124		섬
	125		레그나 해적
	126		해적의 소굴
	127		보호 서비스
	128		밀수꾼 길드
	129		칼날의 끝
	130		결투자의 칼끝
	131		광전사의 분노
	132		실버 헬름
	133		세금
	134		부틀렉 베이
	135		마법의 샘
	136		가릭의 대장간
	137		알라모스 성
	138		신전
	139		물의 정령
	140		코난
	141		대마법사
	142		안개
	143		레그나
	144		조제법
	145		멜로디 실버
	146		자경단
	147		무역
	148		기억
	149		왕위 계승 전쟁
	150		안개의 군주
	151		해적의 소굴
	152		보호 서비스
	153		밀수꾼 길드
	154		칼날의 끝
	155		결투자의 칼끝
	156		광전사의 분노
	157		캘빈 블랙
	158		곤살로 라미레즈
	159		아서 오리어리
	160		버나드 제이콥스
	161		알라모스
	162		돌기둥 원
	163		바다뱀
	164		퍼시벌
	165		에이거의 애완동물
	166		록클린
	167		철광산
	168		니콜라이
	169		코라곤
	170		섀도 길드
	171		오라클
	172		캐서린
	173		요트
	174		리자드맨
	175		투기장
	176		발레리아
	177		십자군
	178		코라곤 경
	179		윌버 험프리
	180		태양의 서커스
	181		노상강도
	182		예언자
	183		드워프
	184		늪
	185		드라군
	186		뉴트 헤드로
	187		리치 햄버그
	188		베니토 텔먼
	189		에드거 카펜터
	190		에런 스트롱먼
	191		스테판 빅스
	192		헬렌 틸
	193		타일러 테일러
	194		리언 라자루
	195		올라프 베링
	196		엘턴 애스트로게이트
	197		월터 하그리브스
	198		테런스 스미스
	199		상인
	200		주먹 기사단
	201		해적의 보물
	202		마법의 샘
	203		신전
	204		아서
	205		영웅
	206		찬차의 신전
	207		태양의 신전
	208		프레스턴 하퍼
	209		쇼시 퍼토니키
	210		윈스턴 셰자르
	211		천상 기사단
	212		실버 헬름
	213		전쟁군주
	214		섀도 길드
	215		알라모스 성
	216		빛과 어둠
	217		다이아몬드 가고일
	218		드루이드
	219		루시우스
	220		대드루이드
	221		군벌의 요새
	222		모놀리스
	223		실버 코브
	224		로레타 플라이스
	225		자경단
	226		뱀장어가 들끓는 바다
	227		춘분과 추분
	228		돌기둥 원
	229		존 실버 경
	230		지하세계와의 연계
	231		티나 셸턴
	232		사이러스 몬테블루
	233		클라이드 대거트
	234		시그리브
	235		엘리너 밴더빌트
	236		다크무어
	237		드래곤샌드
	238		스너글
	239		테락스
	240		유령
	241		하피
	242		해골
	243		이그레인
	244		챔피언
	245		코니 레터링
	246		케이시 루드비히
	247		잭 크로
	248		애빈릴 스마이더스
	249		옛 신전
	250		하수도
	251		배
	252		천상 기사단
	253		오라클
	254		아이스윈드 고개
	255		궁수
	256		모건
	257		중기병
	258		최고 평의회
	259		오스릭 템퍼
	260		하수도 입구
	261		태양의 서커스
	262		록햄 마을
	263		에스릭의 무덤
	264		용병 요새
	265		프리 헤이븐
	266		글리머베일 호수
	267		스톤 신전
	268		하수도의 바 신도
	269		도둑의 왕자
	270		산적
	271		리치
	272		용병 요새
	273		록클린
	274		티머시 오훌리한
	275		마이클 오길비
	276		실베스터 무어
	277		리비아 패럴
	278		타카오
	279		마이나시아
	280		미셸 블랙셔
	281		이반 마자르
	282		로건 대셔
	283		잭 밴 임프
	284		우드로 올브라이트
	285		히토미 미루모토
	286		리 티자레
	287		조단 델파이
	288		졸탄 펠프스
	289		가브리엘 카트먼
	290		카를로 토르미니
	291		섀도 길드
	292		아이스윈드 고개
	293		마자르
	294		아레스
	295		사제
	296		전투 마법사
	297		에릭 폰 스트롬가드
	298		앤서니 스톤
	299		아이스윈드 성채
	300		섀도 길드
	301		화이트 캡
	302		긴 겨울
	303		섀도 길드
	304		드래곤 탑
	305		아이스윈드 성채
	306		고갯길
	307		바가 불러온 겨울
	308		은둔자
	309		비밀 통로
	310		왕위 계승 전쟁
	311		딕슨 파크스
	312		제드 모리슨
	313		모턴 홀로빈
	314		압둘의 휴양 섬
	315		피라미드
	316		웜
	317		불도마뱀
	318		크로노스
	319		늑대의 소굴
	320		블랙셔
	321		별의 섬
	322		웨어울프
	323		공기의 정령
	324		헤라클레스
	325		대사제
	326		메두사
	327		늑대의 소굴
	328		드래곤
	329		태양의 서커스
	330		서부 교역로
	331		데빌
	332		레인저
	333		롤랜드
	334		앰브로즈 브루스
	335		크리그스파이어
	336		에이거
	337		화염 드레이크
	338		미노타우로스
	339		대지의 정령
	340		아폴론
	341		상급 신전
	342		에덴브룩 전투
	343		크리그스파이어 전투
	344		죽음의 기사
	345		니컬러스 로스
	346		타이탄
	347		불의 정령
	348		오딘
	349		은둔자의 섬
	350		드래곤샌드
	351		플레전트 밸리
	352		역병
	353		데빌
	354		스위트 워터 고개
	355		헤르메스
	356		하이브
	357		스위트 워터
	358		블랙우드
	359		데빌
	360		헤라
	361		스위트 워터
	362		별똥별의 밤
	363		데빌의 소굴
	364		바의 요원
	365		캐서린 여왕
	366		해상 여행
	367		VARN의 무덤
	368		오벨리스크
	369		드래곤 탑
	370		데빌과 바
	371		평의회의 배신자
	372		날씨
	373		재난
	374		저주
	375		아치볼드
	376		역병
	377		횡단의 전설
	378		에라시아
	379		레그나
	380		드워프
	381		월요일
	382		마법의 사슬 갑옷
	383		마법 상점
	384		보물
	385		서부 황무지
	386		동부 해안
	387		저주받은 자들의 수렁
	388		여행 철
	389		바다뱀
	390		의식불명
	391		연금술 기초
	392		고급 연금술
	393		기술
	394		크리그스파이어
	395		전투 전술
	396		마법 무기
	397		원소 주문
	398		리치
	399		빛 마법
	400		상인
	401		드라군
	402		별의 호수
	403		아이언피스트 법전
	404		영주들
	405		자물쇠
	406		마법 자물쇠 
	407		바의 신전
	408		긍정적인 사고
	409		크리그스파이어
	410		황무지
	411		회계
	412		금
	413		흉조
	414		롤랜드의 최후의 만찬
	415		켄타우로스
	416		프리 헤이븐
	417		역행
	418		여행 철
	419		산
	420		익사
	421		타운 포털
	422		태양의 교회
	423		주점
	424		물 위 걷기
	425		커틀러스
	426		채드윅
	427		도박
	428		노상강도
	429		구걸
	430		니콜라이 
	431		하수도
	432		바의 신전
	433		니콜라이 
	434		망토
	435		일
	436		추운 날씨
	437		천상의 대장간
	438		뜨거운 불
	439		날씨
	440		마법 장화
	441		최고 평의회
	442		곡물 가격
	443		마법 부여
	444		대리석
	445		오늘의 농담
	446		몬스터
	447		부
	448		검술
	449		블랙우드
	450		성가신 귀족들
	451		레그나
	452		화요일
	453		투기장
	454		오라클
	455		신흥 종교
	456		동행 여행자
	457		학교
	458		대장장이 고용
	459		대장장이 고용
	460		로이드의 표식용 물품
	461		약초
	462		크리그스파이어 성
	463		드래곤
	464		적 
	465		로레타 플라이스
	466		해적
	467		소멸
	468		대체 치료법
	469		자아 길드
	470		전문가와 마스터
	471		상대
	472		갑옷
	473		고대 무기
	474		질량 왜곡의 경이
	475		트윌렌
	476		어둠 마법
	477		은행
	478		금
	479		사막 주민
	480		산적
	481		지하세계
	482		비밀문
	483		도둑
	484		현자
	485		롤랜드 왕
	486		짐 꾸리기
	487		안전한 휴식
	488		수상한 거래
	489		지출
	490		물약
	491		좋아하는 음식
	492		늪지 여행
	493		니콜라이
	494		예언
	495		로레타 플라이스
	496		알라모스
	497		얼음 폭발
	498		지도
	499		빛 마법
	500		쥐와 아이들
	501		별의 섬
	502		삼지창
	503		평의회의 비축품
	504		손금 보기
	505		단검
	506		카리고르
	507		바
	508		도둑의 왕자
	509		천상의 명령
	510		보호
	511		건틀릿
	512		아이언피스트 왕가
	513		군대
	514		주점
	515		시장
	516		프로즌 하이랜드
	517		드래곤 가죽
	518		해적의 보물
	519		바람
	520		레그나
	521		보석
	522		오늘의 농담
	523		무두질
	524		왕위 계승 전쟁
	525		흡혈귀
	526		성소
	527		책
	528		달의 교회
	529		서류 작업
	530		수면
	531		아치볼드
	532		천상의 명령 따위
	533		무료 치료
	534		니콜라이
	535		마법 무기
	536		방패
	537		파손된 물품
	538		마법 능력
	539		화산섬
	540		프로즌 하이랜드
	541		파라다이스 밸리
	542		왕실 요트
	543		부틀렉 베이
	544		죽음
	545		연금술 기초
	546		고급 연금술
	547		주문 학습
	548		로레타 플라이스
	549		선제권
	550		전문화
	551		보호 주문
	552		에이거
	553		테락스의 수정
	554		외교
	555		압둘
	556		스위트 워터
	557		도둑 길드
	558		평의회 의원
	559		마법 갑옷
	560		제라드
	561		바보의 서비스
	562		프리 헤이븐의 신전
	563		수집광
	564		휴식
	565		해적
	566		경제
	567		사악한 신전
	568		분수
	569		휴식
	570		바의 신전
	571		드래곤 탑
	572		왕실 요트
	573		테락스
	574		타운 포털
	575		수호천사
	576		거짓 예언자
