Id	New text
1	대장장이
2	갑옷 제작자
3	연금술사
4	학자
5	안내인
6	추적자
7	길잡이
8	선원
9	항해사
10	치유사
11	전문 치유사
12	대가 치유사
13	교사
14	강사
15	무기 전문가
16	무기 대가
17	수습생
18	신비술사
19	주문 대가
20	교역상
21	상인
22	정찰병
23	고문관
24	법률가
25	땜장이
26	자물쇠공
27	바보
28	굴뚝 청소부
29	짐꾼
30	병참관
31	대리상
32	은행가
33	요리사
34	주방장
35	마부
36	음유시인
37	마법부여사
38	지도 제작자
39	바람의 대가
40	물의 대가
41	관문술사
42	수련사
43	피리꾼
44	탐험가
45	해적
46	종자
47	영매
48	집시
49	협상가
50	사기꾼
51	도둑
52	농민
53	농노
54	재단사
55	노동자
56	농부
57	통 제작자
58	도공
59	직공
60	구두장이
61	도랑 파는 인부
62	제분업자
63	목수
64	석공
65	광대
66	덫사냥꾼
67	거지
68	가축 도둑
69	사냥꾼
70	서기관
71	선교사
72	서기
73	경비병
74	바아의 추종자
75	귀족
76	도박꾼
77	어린이
