Table (of Game struct)	Id	Field	New text
NPCTopic	1		대재앙
	2		대상단장
	3		레그나의 해적
	4		대재앙
	5		해적
	6		대상단
	7		대재앙
	8		돌의 차원문
	9		프레드릭 탈리미어
	10		돌의 차원문
	11		대재앙
	12		힘의 돌
	13		버려진 신전
	14		퀘스트
	15		돌의 차원문
	16		프레드릭 탈리미어
	17		불의 산
	18		예언
	19		퀘스트
	20		퀘스트
	21		퀘스트
	22		다크 엘프 족장으로 승급
	23		카우리 블랙손
	24		감사합니다!
	25		족장
	26		돌기둥 원
	27		카우리 블랙손
	28		편지
	29		퀘스트
	30		블랙손 저택
	31		카우리는 어디에 있습니까?
	32		협박
	33		밀수선
	34		고대 트롤의 거처
	35		퀘스트
	36		고대의 고향을 찾았습니다!
	37		석화의 저주
	38		도와주셔서 감사합니다!
	39		도와주셔서 감사합니다!
	40		고대의 고향
	41		보고서 전달
	42		퀘스트
	43		퀘스트
	44		잘했습니다
	45		불의 호수
	46		알바르로 오기
	47		바일바이트
	48		동맹
	49		퀘스트
	50		블레이즌 스톰랜스의 치료법
	51		해골 드래곤
	52		챔피언으로 승급
	53		에보니스트
	54		치료법
	55		미친 강령술사
	56		스톰랜스
	57		에보니스트
	58		챔피언으로 승급
	59		내 아버지
	60		고룡으로 승급
	61		드래곤 슬레이어
	62		슬레이어의 검
	63		동맹
	64		퀘스트
	65		동맹
	66		홍수
	67		퀘스트
	68		발타자르의 도끼
	69		미노타우로스 군주로 승급
	70		다크 드워프
	71		퀘스트
	72		라비지 로밍의 
발타자르
	73		발타자르의 도끼
	74		도와주셔서 감사합니다!
	75		서두르십시오!
	76		태양의 예언서
	77		단서
	78		빛의 사제로 승급
	79		깃털 달린 뱀의 
소굴
	80		태양의 예언서
	81		퀘스트
	82		코르부
	83		퀘스트
	84		코르부
	85		코르부
	86		리치
	87		리치 항아리
	88		잃어버린 켈의 책
	89		리치로 승급
	90		코르부의 귀환
	91		도와주셔서 감사합니다!
	92		도와주셔서 감사합니다!
	93		도와주셔서 감사합니다!
	94		동맹
	95		퀘스트
	96		다이슨 릴런드
	97		강령술사
	98		태양의 신전
	99		당신 자신
	100		합류
	101		탄트
	102		동맹
	103		퀘스트
	104		동맹
	105		기묘한 관문
	106		아이언피스트 왕가
	107		퀘스트
	108		해적
	109		잔토르
	110		퀘스트
	111		아이언피스트 일행의 도착
	112		불의 차원
	113		차원 사이의 차원
	114		원소 군주들의 감옥
	115		상인회관
	116		드래곤 사냥
	117		블랙웰 쿠퍼
	118		잔토르
	119		군대 소집
	120		차원 사이의 차원
	121		잔토르
	122		드래곤 사냥
	123		숙소
	124		레그나 섬
	125		키호테의 보물
	126		관문
	127		수정 드래곤
	128		파괴자
	129		위대한 업적
	130		빛
	131		태양의 철퇴
	132		아이언피스트 왕가
	133		공기의 차원
	134		위기의 원인
	135		데빌
	136		빛의 종복
	137		도서관
	138		해적 습격
	139		캐서린 아이언피스트
	140		물의 차원
	141		철제 배급품
	142		구원
	143		도시의 열쇠
	144		태양의 신전
	145		해적 마법사
	146		마법사
	147		차원의 반지
	148		악몽
	149		원소 전쟁
	150		안전
	151		잔토르
	152		수정
	153		퀘스트
	154		관문
	155		원소 군주
	156		파괴자
	157		떠나기
	158		나이트셰이드 화로
	159		누구십니까?
	160		마스터들
	161		대재앙
	162		크리건
	163		세상을 구하기
	164		수수께끼 하나
	165		수수께끼 둘
	166		수수께끼 셋
	167		샬웬드 해방
	168		아크왈랜더 해방
	169		그랄코르 해방
	170		피라나스테 해방
	171		수수께끼
	172		약탈자
	173		합류
	174		퀘스트
	175		퀘스트
	176		전염병을 막았습니까
	177		퀘스트
	178		해독제를 가지고 있습니까?
	179		순수한 속도 물약
	180		재료
	181		재료를 가지고 있습니까?
	182		퀘스트
	183		우상을 가지고 있습니까?
	184		퀘스트
	185		다이어 울프 가죽
	186		드디어!
	187		퀘스트
	188		퀘스트
	189		보고서를 전달했습니까?
	190		기름 부은 약초 물약
	191		나가 가죽
	192		500골드!
	193		퀘스트
	194		일식
	195		진미
	196		1000골드!
	197		왕실 말벌 젤리
	198		퀘스트
	199		오우거 귀 현상금
	200		다시 안전하게 여행할 수 있습니다!
	201		순수한 행운 물약
	202		재료
	203		재료를 가지고 있습니까?
	204		말벌 침
	205		500골드!
	206		생존!
	207		퀘스트
	208		물약이 부족합니까?
	209		마을은 스스로 
지킬 수 있습니다.
	210		순수한 체력 물약
	211		재료
	212		재료를 가지고 있습니까?
	213		퀘스트
	214		독!
	215		도와주셔서 감사합니다!
	216		퀘스트
	217		독!
	218		도와주셔서 감사합니다!
	219		퀘스트
	220		마침내!
	221		퀘스트
	222		땅은 다시 우리 것입니다!
	223		퀘스트
	224		승리의 북의 역사
	225		북은 어디에 있습니까?
	226		퀘스트
	227		뼈의 역사
	228		훌륭합니다!
	229		퀘스트
	230		퍼즐의 역사
	231		즐거운 시간!
	232		순수한 지력 물약
	233		길드와 신전의 전쟁
	234		재료를 가지고 있습니까?
	235		퀘스트
	236		무덤 흙이 든 병
	237		유리병을 가지고 있습니까?
	238		순수한 인격 물약
	239		재료
	240		재료를 가져와 주셔서 감사합니다
	241		고대 와이번
	242		와이번 뿔 현상금
	243		1500골드!
	244		순수한 정확도 물약
	245		재료
	246		재료를 가지고 있습니까?
	247		공포의 해적 스탠리의 보물
	248		부
	249		퀘스트
	250		토버스크 열매 200골드에 구매
	251		토버스크 브랜디 판매
	252		토버스크 과육 300골드에 구매
	253		토버스크 열매 판매
	254		토버스크 브랜디 500골드에 구매
	255		토버스크 과육 판매
	256		자데임의 심재 1000골드에 구매
	257		말린 개복치 판매
	258		해적 부적 1500골드에 구매
	259		자데임의 심재 판매
	260		말린 개복치 2000골드에 구매
	261		해적 부적 판매
	262		바다의 은가루 5000골드에 구매
	263		간 와이번 뿔 판매
	264		위조 신용 전표 6500골드에 구매
	265		바다의 은가루 판매
	266		간 와이번 뿔 7500골드에 구매
	267		위조 신용 전표 판매
	268		빈 통
	269		빨간 통
	270		노란 통
	271		파란 통
	272		주황 통
	273		초록 통
	274		보라 통
	275		흰 통
	276		빈 가마솥
	277		김이 나는 가마솥
	278		서리 낀 가마솥
	279		전기가 흐르는 가마솥
	280		더러운 가마솥
	281		쓰레기 더미
	282		쓰레기 더미
	283		쓰레기 더미
	284		쓰레기 더미
	285		모닥불
	286		모닥불
	287		음식 그릇
	288		빈 술통
	289		술통
	290		황열병
	291		황열병
	292		황열병
	293		황열병
	294		황열병
	295		황열병
	296		로트낵스
	297		다시 한번 감사합니다!
	298		보고!
	299		자데임의 운명
	300		지팡이 전문가 
	301		지팡이 마스터
	302		지팡이 그랜드마스터
	303		검 전문가
	304		검 마스터
	305		검 그랜드마스터
	306		단검 전문가
	307		단검 마스터
	308		단검 그랜드마스터
	309		도끼 전문가
	310		도끼 마스터
	311		도끼 그랜드마스터
	312		창 전문가
	313		창 마스터
	314		창 그랜드마스터
	315		활 전문가
	316		활 마스터
	317		활 그랜드마스터
	318		철퇴 전문가
	319		철퇴 마스터
	320		철퇴 그랜드마스터
	321		블래스터 전문가
	322		블래스터 마스터
	323		그랜드마스터 블래스터
	324		방패 전문가
	325		방패 마스터
	326		방패 그랜드마스터
	327		가죽 갑옷 전문가
	328		가죽 갑옷 마스터
	329		가죽 갑옷 그랜드마스터
	330		사슬 갑옷 전문가
	331		사슬 갑옷 마스터
	332		사슬 갑옷 그랜드마스터
	333		판금 갑옷 전문가
	334		판금 갑옷 마스터
	335		판금 갑옷 그랜드마스터
	336		불 마법 전문가
	337		불 마법 마스터
	338		불 마법 그랜드마스터
	339		공기 마법 전문가
	340		공기 마법 마스터
	341		공기 마법 그랜드마스터
	342		물 마법 전문가
	343		물 마법 마스터
	344		물 마법 그랜드마스터
	345		대지 마법 전문가
	346		대지 마법 마스터
	347		대지 마법 그랜드마스터
	348		영혼 마법 전문가
	349		영혼 마법 마스터
	350		영혼 마법 그랜드마스터
	351		정신 마법 전문가
	352		정신 마법 마스터
	353		정신 마법 그랜드마스터
	354		육체 마법 전문가
	355		육체 마법 마스터
	356		육체 마법 그랜드마스터
	357		빛 마법 전문가
	358		빛 마법 마스터
	359		빛 마법 그랜드마스터
	360		어둠 마법 전문가
	361		어둠 마법 마스터
	362		어둠 마법 그랜드마스터
	363		다크 엘프 전문가
	364		다크 엘프 마스터 
	365		다크 엘프 그랜드마스터
	366		뱀파이어 전문가
	367		뱀파이어 마스터
	368		뱀파이어 그랜드마스터
	369		드래곤 전문가
	370		드래곤 마스터
	371		드래곤 그랜드마스터
	372		아이템 감정 전문가
	373		아이템 감정 마스터
	374		아이템 감정 그랜드마스터
	375		상술 전문가
	376		상술 마스터
	377		상술 그랜드마스터
	378		아이템 수리 전문가
	379		아이템 수리 마스터
	380		아이템 수리 그랜드마스터
	381		신체 단련 전문가
	382		신체 단련 마스터
	383		신체 단련 그랜드마스터
	384		명상 전문가
	385		명상 마스터 
	386		명상 그랜드마스터
	387		통찰 전문가
	388		통찰 마스터
	389		통찰 그랜드마스터
	390		재생 전문가
	391		재생 마스터
	392		재생 그랜드마스터
	393		함정 해제 전문가 
	394		함정 해제 마스터
	395		함정 해제 그랜드마스터
	396		회피 전문가
	397		회피 마스터
	398		회피 그랜드마스터
	399		맨손 전투 전문가
	400		맨손 전투 마스터
	401		맨손 전투 그랜드마스터
	402		몬스터 식별 전문가
	403		몬스터 식별 마스터
	404		몬스터 식별 그랜드마스터
	405		무기술 전문가
	406		무기술 마스터
	407		무기술 그랜드마스터
	408		도둑질 전문가
	409		도둑질 마스터
	410		도둑질 그랜드마스터
	411		연금술 전문가
	412		연금술 마스터
	413		연금술 그랜드마스터
	414		학습 전문가
	415		학습 마스터
	416		학습 그랜드마스터 
	417		퍼들 세인
	418		셀리아 스톤
	419		트리스텐 스틸워터
	420		에어리 루오드린
	421		제이신 카드론
	422		미욘 드래곤트래커
	423		로리 베스퍼스
	424		조버
	425		칼라 니르세스
	426		헤럴드 포스트라이크
	427		재스프 헌터 
	428		개릭 센잭
	429		매트릭 타운세이버
	430		아샨드라 위더스마이스
	431		야로
	432		시반 킨아이
	433		오베릭 노즈워트
	434		솔리스
	435		리샤 사워브로
	436		로버트 모닝스타
	437		하스스원 수사
	438		킬레인 무어
	439		셸던 나이트우드
	440		페린 리버스턴
	441		타딘
	442		셰이머스 홀리필드
	443		메드와리 엘름스마이어
	444		토브렌 포지라이트 
	445		할리안 에버스마일
	446		셀린 번킨들
	447		본
	448		보섬
	449		세스 아이언피스트
	450		타렌 템퍼
	451		솔로몬 스틸
	452		번
	453		레시
	454		홀리스 스톰아이
	455		클라우드 네들론
	456		울브레히트 페더턴
	457		그레고리 미스트
	458		블랙 커런트
	459		오스트린 그리빅
	460		도로시 세이블우드
	461		그리븐
	462		스트래턴 호손
	463		베톨드 컨
	464		라시터 레이븐사이트
	465		셰인 크룰런 
	466		바르사인 로츠
	467		길라드 드림라이트
	468		제바 포이즈드
	469		투고르 아린
	470		크리티아스 스노트리
	471		아치볼드 돈스글로
	472		루니우스 돈브링어
	473		알드린 클리어아이
	474		팻윈 다켄모어
	475		칼라 엄버풀
	476		시시커스 섀도러너
	477		카이라 스파크먼
	478		이시안
	479		엘즈벳 로겐
	480		피시너 톰
	481		펜턴 아이버슨
	482		레이븐 퀵텅
	483		에반다르 로츠 
	484		퀵 제니
	485		케스린 톤크
	486		메나사우르
	487		케네스 오터턴
	488		미켈 스미스슨
	489		앨턴 퍼트넘
	490		그레친 네버모어
	491		레너드 나이트크롤러
	492		실크 나이트워커
	493		헬가 스틸아이
	494		발란 슈어트레일
	495		케스릭 태런트
	496		윌리엄 샘슨
	497		꼬리가 많은 우시
	498		셰본 위스트
	499		켈리 라이트핑거스
	500		개러스 리프터
	501		무기 제작
	502		방어구 제작
	503		아이템 제작
	504		신호 
	505		잠자리
	506		쓰러진 나무
	507		테사 메이커
	508		매트릭 킨에지
	509		블래큰 스톤클리버
	510		노버트 슬레이어
	511		흉터투성이 라사틴
	512		재스퍼 스틸코이프
	513		1000골드 지불
	514		지불하지 않기
	515		화살촉 200골드에 구매
	516		태비사 워터셰드
	517		케스리 트레저스톤
	518		이크
	519		페트라 미스릿
	520		개럿 미스트스프링
	521		완다 라이트스원
	522		플린 섀도르
	523		더글러스 더스무어
	524		페이지 아라크니아
	525		페드윈 더비시
	526		랜시 케이버힐
	527		톤 아그레이넬
	528		이시턴
	529		어신트
	530		클레인 스카윙
	531		신속 받침대
	532		대지 저항 받침대
	533		신들의 날 받침대
	534		방패 받침대
	535		물 저항 받침대
	536		불 저항 받침대
	537		영웅심 받침대
	538		화염 오라 받침대
	539		정신 저항 받침대
	540		육체 저항 받침대
	541		돌가죽 받침대
	542		공기 저항 받침대
	543		힘 게임
	544		체력 게임
	545		지력 게임
	546		인격 게임
	547		정확도 게임
	548		속도 게임
	549		행운 게임
	550		힘 경연
	551		체력 경연
	552		지력 경연
	553		인격 경연
	554		정확도 경연
	555		속도 경연
	556		행운 경연
	557		힘 시험
	558		체력 시험
	559		지력 시험
	560		인격 시험
	561		정확도 시험
	562		속도 시험
	563		행운 시험
	564		힘 도전
	565		체력 도전
	566		지력 도전
	567		인격 도전
	568		정확도 도전
	569		속도 도전
	570		행운 도전
	571		불 저항 물약
	572		불 저항 물약
	573		불 저항 물약
	574		불 저항 물약
	575		불 저항 물약
	576		불 저항 물약
	577		현상금 사냥꾼 길드
	578		현상금!
	579		이번 달의 현상금
	580		아르코메이지 대회 
	581		성직자와 강령술사의 전쟁
	582		드래곤 사냥꾼
	583		미노타우로스
	584		건널 수 없는 다리?
	585		섬 사이 이동
	586		선착장
	587		크리건
	588		원소 군주
	589		엔로스
	590		에라시아
	591		크리건
	592		정령
	593		그들을 구출했습니까
	594		무기 제작
	595		방어구 제작
	596		아이템 제작
	597		아르코메이지 대회 
	598		바위 첨탑
	599		바위 첨탑
	600		명단 합류 이벤트
	601		명단 합류 이벤트
	602		명단 합류 이벤트
	603		합류
	604		명단 합류 이벤트
	605		명단 합류 이벤트
	606		명단 합류 이벤트
	607		명단 합류 이벤트
	608		합류
	609		명단 합류 이벤트
	610		명단 합류 이벤트
	611		명단 합류 이벤트
	612		명단 합류 이벤트
	613		명단 합류 이벤트
	614		명단 합류 이벤트
	615		명단 합류 이벤트
	616		합류
	617		명단 합류 이벤트
	618		명단 합류 이벤트
	619		명단 합류 이벤트
