Table (of Game struct)	Id	Field	New text
PlaceMonTxt	0		
	1		블랙웰 쿠퍼
	2		제릭 휘슬본
	3		드래곤 사냥꾼의 애완동물
	4		넬슨 제독
	5		자이레인 선장
	6		클라우제비츠 제독
	7		유니콘 왕
	8		리자드맨 파수꾼
	9		리자드맨 파수꾼
	10		경비병
	11		무리의 주인
	12		조그
	13		gamegurl
	14		DaveO
	15		Steve Jaqvaar
	16		HodgePodge
	17		엘라라
	18		리바나
	19		TenErnieFord
	20		Cool Jerk
	21		Chlala
	22		kyberkisu
	23		Just_A_Brain
	24		킬번 경
	25		루이즈 왕
	26		구트울프
	27		애덤 매카시
	28		알렉스 셔먼
	29		앤드루 그럼
	30		애나 울
	31		에이프릴 리
	32		벤저민 벤트
	33		빌 네스마이어
	34		빌 스톤햄
	35		밥 영
	36		보니 롱헴사스
	37		브라이언 드메츠
	38		브라이언 켐퍼
	39		브라이언 파리나
	40		칼 핀더
	41		찰스 질름
	42		크리스 베이츠
	43		크리스 밀러
	44		크리스천 배노버
	45		척 러섬
	46		데이브 보탄
	47		데이비드 멀리치
	48		데이비드 리치
	49		데이비드 벨라
	50		딘 깁슨
	51		데빈 채프먼
	52		에드워드 허드슨
	53		어니 가야르도
	54		에릭 윌리엄슨
	55		페르난도 카스티요
	56		조지 아몬드
	57		조지 루오프
	58		거스 스메드스타드 
	59		이언 불러드
	60		잭 러셀
	61		제임스 디킨슨
	62		제프 빅맨
	63		제프 블래트너
	64		제프 레겟
	65		제니퍼 불러드
	66		조 맥거핀
	67		조엘 켈리
	68		존 깁슨
	69		존 크라우스
	70		존 매킨(맥)
	71		존 슬로스키
	72		존 밴 캐니헴
	73		조지프 뷰런
	74		줄리아 울라노
	75		칼 드라운
	76		케이트 배노버
	77		키스 프랑카트
	78		키스 탈라네이
	79		켄 스펜서
	80		켄 톰슨
	81		커트 매키버
	82		리사 휘트먼
	83		루 헨더슨
	84		마커스 프레전트
	85		메리 엘런 뱁슨
	86		마크 콜드웰
	87		마크 밀러
	88		마이클 울프
	89		니코 워건
	90		노와 모리사쿠
	91		폴 래트너
	92		피트 류
	93		펠런 사익스
	94		레베카 크리스텔
	95		리키 코레데라
	96		라이언 덴
	97		스콧 화이트
	98		스티브 재스퍼
	99		스티브 워사프
	100		팀 랭
	101		토드 스마일스
	102		톰 오노
	103		톰 젤리프
	104		토니 에번스
	105		트레이시 이와타
	106		월터 존슨
	107		야드드레이크
	108		늙은 로브
	109		일싱고어
	110		경비병
	111		바의 성직자
	112		바의 대사제
	113		모르카라크
	114		슈퍼 뱀파이어
	115		제노펙스
	116		윌리엄 세탁
	117		웜스랙스
	118		메가 드래곤
	119		현자 로버트
	120		톨베르티
	121		그로그나드
	122		헤어보
	123		Q
	124		거미 여왕
	125		타락한 수호자
	126		스너글
	127		로그 우두머리
	128		하급 지니
	129		에스릭
	130		늑대인간 우두머리
	131		에이거
	132		슬리커 실버텅
	133		Q
	134		리치 왕
	135		러치
	136		VARN의 보초
	137		롱팽 위더하이드
	138		바의 데빌
	139		트립 호킨스
	140		그레그 풀턴
	141		윌리엄 네스마이어
	142		앤디 그럼
	143		마크 콜드웰
	144		피터 류
	145		스콧 맥대니얼
	146		 키스 프랑카트
	147		보니 롱헴사스
	148		베키 크리스텔
	149		롭 킹
	150		스티브 바카
	151		릭 산체스
	152		헬레나 윅버그
	153		존 볼턴
	154		앤서니 리조
	155		브루스 미야케
	156		NWC 직원
	157		랜디 러클
	158		칼 피셔
	159		데이비드 카소
	160		모르카라크
	161		자리표시자
