Table (of Game struct)	Id	Field	New text
QuestsTxt	0		
	1		
	2		
	3		다데로스의 편지를 레이븐쇼어 상인회관의 엘가 펠문에게 전달하십시오.
	4		
	5		대거 운드의 레그나 해적 전초기지 우두머리를 처치하십시오.
	6		
	7		브레키시 원팽의 차원문 수정을 프레드릭 탈리미어에게 가져가십시오.
	8		
	9		펠문의 협박 편지를 웨어랫 밀수꾼의 우두머리 아리온 헌터에게 전달한 뒤 펠문에게 보고하십시오.
	10		
	11		알바르의 상인 길드장 바스티안 라우드린에게 보고하십시오.
	12		
	13		자데임의 주요 세력들로 동맹을 결성하십시오.
	14		섀도스파이어의 강령술사 길드와 동맹을 맺으십시오.
	15		머머우즈의 태양의 신전과 동맹을 맺으십시오.
	16		가로트 협곡의 드래곤 사냥꾼들과 동맹을 맺으십시오.
	17		가로트 협곡의 드래곤들과 동맹을 맺으십시오.
	18		라비지 로밍의 미노타우로스들과 동맹을 맺으십시오.
	19		
	20		
	21		
	22		
	23		
	24		
	25		불의 호수가 생겨난 장면을 목격한 사람을 찾아 알바르의 상인 길드로 데려오십시오.
	26		섀도스파이어 강령술사 길드에서 해골 변환기를 찾아 파괴한 뒤 오스카 타이어에게 돌아가십시오.
	27		
	28		태양의 신전에 있는 나이트셰이드 화로를 강령술사 길드장 산드로에게 가져가십시오.
	29		
	30		라비지 로밍의 소굴에 갇힌 미노타우로스들을 구출하십시오.
	31		라비지 로밍의 조그 요새에서 드래곤 알을 되찾아 가로트 협곡의 찰스 키호테에게 가져가십시오.
	32		
	33		드래곤 알을 찾아 드래곤의 우두머리 데프트클로 레드리버에게 돌려주십시오.
	34		
	35		
	36		레그나 함대를 침몰시킨 뒤 레이븐쇼어 평의회실로 돌아가십시오.
	37		
	38		
	39		카우리 블랙손을 찾은 뒤 머머우즈의 단틸리온에게 그녀의 위치를 알려주십시오.
	40		
	41		물의 차원에서 물의 심장을 가져와 잔토르에게 건네십시오.
	42		공기의 차원에서 공기의 심장을 가져와 잔토르에게 건네십시오.
	43		대지의 차원에서 대지의 심장을 가져와 잔토르에게 건네십시오.
	44		불의 차원에서 불의 심장을 가져와 잔토르에게 건네십시오.
	45		
	46		수정 관문 너머에서 대재앙의 원인을 찾아내십시오.
	47		
	48		불의 군주 피라나스테를 구출하십시오.
	49		
	50		대지의 군주 잔혹한 그랄코르를 구출하십시오.
	51		
	52		물의 군주 아크왈랜더를 구출하십시오.
	53		
	54		공기의 군주 샬웬드를 구출하십시오.
	55		
	56		
	57		
	58		
	59		
	60		
	61		바일바이트의 재를 더스트 마을의 무덤에 안치한 뒤 오버듄에게 돌아가십시오.
	62		
	63		
	64		
	65		
	66		
	67		
	68		고대 트롤의 고향을 찾아 아이언샌드 사막의 볼로그 샌드윈드에게 돌아가십시오.
