Index	Name	Description	Normal	Expert	Master	GrandMaster
0	스태프	스태프 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	방어력(AC)에 스킬 레벨 추가	스킬 레벨 확률로 기절 효과 발생	공격 피해량에 스킬 레벨 추가
1	검	검 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 회복 시간(딜레이) 감소	왼손에 검 착용 가능	방어력(AC)에 스킬 레벨 추가
2	단검	단검 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	왼손에 단검 착용 가능	스킬 레벨 확률로 3배 피해 발생	공격 피해량에 스킬 레벨 추가
3	도끼	도끼 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 회복 시간(딜레이) 감소	공격 피해량에 스킬 레벨 추가	일정 확률로 대상 방어력 절반 감소
4	창	창 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 피해량에 스킬 레벨 추가	한 손으로 창 착용 가능	방어력(AC)에 스킬 레벨 추가
5	활	활 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 회복 시간(딜레이) 감소	공격 시 화살 2발 연속 발사	공격 피해량에 스킬 레벨 추가
6	메이스	메이스 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 피해량에 스킬 레벨 추가	스킬 레벨 확률로 기절 효과 발생	일정 확률로 대상 마비 효과
7	블래스터	블래스터 무기 숙련도입니다.	공격 보너스에 스킬 레벨 추가	공격 보너스 2배 적용	공격 보너스 3배 적용	공격 보너스 5배 적용
8	방패	방패 착용 및 방어 숙련도입니다.	방어력(AC)에 스킬 레벨 추가	방패 착용 속도 패널티 제거	방어력(AC) 보너스 2배 적용	방패 주문 효과 자동 부여
9	가죽 갑옷	가죽 갑옷 착용 숙련도입니다.	방어력(AC)에 스킬 레벨 추가	가죽 갑옷 속도 패널티 제거	방어력(AC) 보너스 2배 적용	원소 저항력에 스킬 레벨 추가
10	사슬 갑옷	사슬 갑옷 착용 숙련도입니다.	방어력(AC)에 스킬 레벨 추가	속도 패널티 절반 감소	속도 패널티 완벽 제거	물리 피해 2/3로 감소
11	판금 갑옷	판금 갑옷 착용 숙련도입니다.	방어력(AC)에 스킬 레벨 추가	속도 패널티 절반 감소	물리 피해 1/2로 감소	속도 패널티 완벽 제거
12	화염 마법	화염 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
13	대기 마법	대기 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
14	물 마법	물 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
15	대지 마법	대지 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
16	영혼 마법	영혼 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
17	정신 마법	정신 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
18	신체 마법	신체 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
19	빛 마법	빛 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
20	어둠 마법	어둠 계열 마법 숙련도입니다.	주문 효과 및 지속시간 향상	상위 주문 사용 및 효과 강화	고위 주문 사용 및 효과 대폭 강화	궁극 주문 사용 및 효과 극대화
21	다크 엘프 능력	다크 엘프 종족 특수 능력 숙련도입니다.	매혹(Glamour) 주문 사용 가능	여행자의 축복(Travelers' Boon) 사용 가능	실명(Blind) 주문 사용 가능	암흑 화염(Darkfire Bolt) 사용 가능
22	뱀파이어 능력	뱀파이어 종족 특수 능력 숙련도입니다.	생명력 흡수(Lifedrain) 주문 사용 가능	공중 부양(Levitate) 사용 가능	유혹(Charm) 주문 사용 가능	안개 형태(Mistform) 변신 가능
23	드래곤 능력	드래곤 종족 특수 능력 숙련도입니다.	공포(Fear) 주문 사용 가능	폭발성 브레스(Breath Weapon) 사용 가능	비행(Flight) 능력 사용 가능	날개 치기(Wing Buffet) 사용 가능
24	아이템 식별	미식별 아이템을 식별하는 능력입니다.	아이템 식별 가능	식별 성공률 및 능력 2배	식별 성공률 및 능력 3배	모든 아이템 100% 식별 성공
25	상술	상점에서 물품 구매 및 판매 가격을 우대받는 능력입니다.	상점 가격 우대	상술 효과 2배	상술 효과 3배	모든 물품 원가 구매 및 판매
26	아이템 수리	손상된 무기 및 방어구를 수리하는 능력입니다.	손상된 아이템 수리 가능	수리 성공률 및 능력 2배	수리 성공률 및 능력 3배	모든 아이템 100% 수리 성공
27	체력 단련	캐릭터의 최대 생명력을 증가시키는 능력입니다.	최대 생명력(HP) 증가	생명력 보너스 2배	생명력 보너스 3배	생명력 보너스 5배
28	명상	캐릭터의 최대 주문력을 증가시키는 능력입니다.	최대 주문력(SP) 증가	주문력 보너스 2배	주문력 보너스 3배	주문력 보너스 5배
29	지각	숨겨진 보물과 함정을 감지하는 능력입니다.	함정 및 비밀 통로 감지	함정 피해 감소 및 감지율 2배	함정 피해 대폭 감소 및 감지율 3배	함정 피해 완벽 무효화
30	재생	시간 경과 시 생명력을 자동으로 회복하는 능력입니다.	생명력 자동 회복	생명력 회복 속도 2배	생명력 회복 속도 3배	생명력 회복 속도 5배
31	함정 해제	보물상자 및 문에 설치된 함정을 해제하는 능력입니다.	함정 해제 가능	함정 해제 성공률 2배	함정 해제 성공률 3배	모든 함정 100% 해제 성공
32	회피	갑옷을 입지 않았을 때 방어력을 높여주는 능력입니다.	갑옷 미착용 시 방어력 증가	회피 방어력 보너스 2배	회피 방어력 보너스 3배	회피 방어력 보너스 5배
33	맨손 전투	무기를 착용하지 않고 맨손으로 공격할 때의 효율입니다.	맨손 공격 보너스 증가	맨손 공격 피해량 증가	맨손 공격 보너스 2배	일정 확률로 대상 기절 효과
34	몬스터 식별	몬스터의 상세 정보와 체력을 파악하는 능력입니다.	몬스터 체력 및 정보 확인	몬스터 저항력 및 정보 확인	몬스터 공격력 및 특성 완전 파악	몬스터 모든 정보 100% 완전 공개
35	무술	공격 속도 및 무기 효율을 높여주는 능력입니다.	근접 공격 딜레이 감소	근접 공격 보너스 및 속도 증가	근접 공격 피해량 증가	모든 근접 공격 보너스 2배 적용
36	소매치기	대상의 소지품이나 물건을 훔치는 능력입니다.	소매치기 시도 가능	소매치기 성공률 2배	소매치기 성공률 3배	발각 없이 100% 소매치기 성공
37	연금술	물약을 제조하고 합성하는 능력입니다.	기본 물약 제조 및 합성	중급 물약 합성 가능	상급 물약 합성 가능	전설적인 검은 물약(Black Potion) 합성 가능
38	학습	획득하는 경험치 양을 추가로 증가시키는 능력입니다.	획득 경험치 증가 (+스킬당 1%)	획득 경험치 추가 증가 (+스킬당 2%)	획득 경험치 대폭 증가 (+스킬당 3%)	획득 경험치 극대화 (+스킬당 5%)
