Table (of Game struct)	Id	Field	New text
SpcItemsTxt	0	NameAdd	[보호]
	1	NameAdd	[신들]
	2	NameAdd	[대학살]
	3	NameAdd	[냉기]
	4	NameAdd	[서리]
	5	NameAdd	[빙결]
	6	NameAdd	[전격]
	7	NameAdd	[번개]
	8	NameAdd	[벼락]
	9	NameAdd	[불]
	10	NameAdd	[화염]
	11	NameAdd	[지옥불]
	12	NameAdd	[독]
	13	NameAdd	[맹독]
	14	NameAdd	[산성]
	15	NameAdd	[흡혈]
	16	NameAdd	[회복]
	17	NameAdd	[면역]
	18	NameAdd	[정신 안정]
	19	NameAdd	[자유]
	20	NameAdd	[해독]
	21	NameAdd	[경보]
	22	NameAdd	[메두사]
	23	NameAdd	[위력]
	24	NameAdd	[권능]
	25	NameAdd	[공기 마법]
	26	NameAdd	[육체 마법]
	27	NameAdd	[어둠 마법]
	28	NameAdd	[대지 마법]
	29	NameAdd	[불 마법]
	30	NameAdd	[빛 마법]
	31	NameAdd	[정신 마법]
	32	NameAdd	[영혼 마법]
	33	NameAdd	[물 마법]
	34	NameAdd	[도둑질]
	35	NameAdd	[방어막]
	36	NameAdd	[재생]
	37	NameAdd	[마나]
	38	NameAdd	[오우거 학살]
	39	NameAdd	[드래곤 학살]
	40	NameAdd	[어둠]
	41	NameAdd	[파멸]
	42	NameAdd	[대지]
	43	NameAdd	[생명]
	44	NameAdd	[로그]
	45	NameAdd	[드래곤]
	46	NameAdd	[일식]
	47	NameAdd	[골렘]
	48	NameAdd	[달]
	49	NameAdd	[불사조]
	50	NameAdd	[하늘]
	51	NameAdd	[별]
	52	NameAdd	[태양]
	53	NameAdd	[트롤]
	54	NameAdd	[유니콘]
	55	NameAdd	[전사]
	56	NameAdd	[마법사]
	57	NameAdd	[고대]
	58	NameAdd	[신속]
	59	NameAdd	[수도사]
	60	NameAdd	[도둑]
	61	NameAdd	[감정]
	62	NameAdd	[정령 학살]
	63	NameAdd	[언데드 학살]
	64	NameAdd	[다윗]
	65	NameAdd	[풍요]
	66	NameAdd	[암살자]
	67	NameAdd	[야만인]
	68	NameAdd	[폭풍]
	69	NameAdd	[대양]
	70	NameAdd	[수면 보행]
	71	NameAdd	[깃털 낙하]
	72	NameAdd	[전기 불꽃]
