Table (of Game struct)	Id	Field	New text
SpellsTxt	0	Name	
	0	ShortName	
	0	Description	
	0	Normal	
	0	Expert	
	0	Master	
	0	GrandMaster	
	1	Name	횃불
	1	ShortName	횃불
	1	Description	횃불은 어둠 속에서 파티 주변의 시야를 밝혀줍니다.
	1	Normal	지속 시간: 기술 포인트당 1시간
	1	Expert	더 밝은 빛
	1	Master	가장 밝은 빛
	1	GrandMaster	회복 속도 증가
	2	Name	파이어 볼트
	2	ShortName	파이어 볼트
	2	Description	단일 대상에게 화염을 발사합니다. 화염 마법 기술 포인트당 1-3의 피해를 줍니다. 파이어 볼트는 안전하고 효과적이며 마나 소모가 적습니다.
	2	Normal	회복 속도 느림
	2	Expert	회복 속도 증가
	2	Master	회복 속도 증가
	2	GrandMaster	회복 속도 매우 증가
	3	Name	화염 저항
	3	ShortName	화염 저항
	3	Description	모든 캐릭터의 화염 저항력을 화염 마법 기술 포인트만큼 증가시킵니다. 효과는 기술 포인트당 1시간 동안 지속됩니다.
	3	Normal	기술 포인트당 저항력 1 증가
	3	Expert	기술 포인트당 저항력 2 증가
	3	Master	기술 포인트당 저항력 3 증가
	3	GrandMaster	스킬 포인트당 4의 저항력
	4	Name	화염 오라
	4	ShortName	화염 오라
	4	Description	특수 능력이 없는 무기를 마법의 불꽃으로 감싸 "화염의" 능력을 부여합니다. 이 주문은 화염 마법 스킬 포인트당 1시간 동안 지속됩니다.
	4	Normal	"화염의" 부여
	4	Expert	"불꽃의" 부여
	4	Master	"지옥불의" 부여
	4	GrandMaster	"지옥불의" 영구 부여
	5	Name	가속
	5	ShortName	가속
	5	Description	모든 캐릭터의 공격 및 주문 시전 후 회복 시간을 단축합니다. 주문 효과가 사라지면 캐릭터가 허약해집니다.
	5	Normal	n/a
	5	Expert	지속 시간 1시간 + 스킬 포인트당 1분
	5	Master	지속 시간 1시간 + 스킬 포인트당 3분
	5	GrandMaster	지속 시간 1시간 + 스킬 포인트당 4분
	6	Name	파이어볼
	6	ShortName	파이어볼
	6	Description	단일 대상에게 화염구를 발사합니다. 명중 시 폭발하며 주변의 모든 대상에게 피해를 입힙니다. 너무 가까이 있으면 아군도 피해를 입을 수 있습니다. 파이어볼은 화염 마법 스킬 포인트당 1-6의 피해를 줍니다.
	6	Normal	n/a
	6	Expert	보통 회복 속도
	6	Master	회복 속도 증가
	6	GrandMaster	회복 속도 매우 증가
	7	Name	파이어 스파이크
	7	ShortName	파이어 스파이크
	7	Description	지면에 화염 가시를 설치합니다. 근처에 적이 다가오면 폭발하며, 맵을 떠나거나 폭발할 때까지 유지됩니다.
	7	Normal	n/a
	7	Expert	스킬 포인트당 1-6의 피해를 주며, 최대 5개의 가시를 설치합니다.
	7	Master	스킬 포인트당 1-8의 피해를 주며, 최대 7개의 가시를 설치합니다.
	7	GrandMaster	스킬 포인트당 1-10의 피해를 주며, 최대 9개의 가시를 설치합니다.
	8	Name	이몰레이션
	8	ShortName	이몰레이션
	8	Description	캐릭터 주변을 적에게만 해로운 뜨거운 화염으로 감쌉니다. 이 주문은 범위 내에 머무는 모든 몬스터에게 스킬 포인트당 1-6의 피해를 지속적으로 입힙니다.
	8	Normal	n/a
	8	Expert	n/a
	8	Master	지속 시간: 스킬 포인트당 1분
	8	GrandMaster	지속 시간: 스킬 포인트당 10분
	9	Name	메테오 샤워
	9	ShortName	메테오 샤워
	9	Description	지정한 대상 주변의 넓은 반경에 하늘에서 불타는 바위를 소환합니다. 주문 사용 시 대상 근처에 있지 않도록 주의하십시오. 운석 하나당 8의 피해와 화염 마법 스킬 포인트당 1의 추가 피해를 줍니다. 실외에서만 사용할 수 있습니다.
	9	Normal	n/a
	9	Expert	n/a
	9	Master	회복 속도 보통, 운석 16개
	9	GrandMaster	회복 속도 빠름, 운석 20개
	10	Name	인페르노
	10	ShortName	인페르노
	10	Description	시야 내의 모든 몬스터를 불태웁니다(아군 제외). 한두 번의 시전으로 약하거나 중간 정도의 몬스터가 가득 찬 방을 정리할 수 있습니다. 각 몬스터는 12의 피해와 화염 마법 스킬 포인트당 2의 추가 피해를 입습니다. 실내에서만 사용할 수 있습니다.
	10	Normal	n/a
	10	Expert	n/a
	10	Master	회복 속도 보통
	10	GrandMaster	회복 속도 빠름
	11	Name	인시너레이트
	11	ShortName	소각
	11	Description	가장 강력한 직접 피해 주문 중 하나인 소각은 단일 대상에게 막대한 피해를 입힙니다. 가장 강력한 괴물만이 이 주문에서 살아남을 수 있습니다. 피해량은 15에 화염 마법 기술 점수당 1-15를 더한 값입니다.
	11	Normal	n/a
	11	Expert	n/a
	11	Master	n/a
	11	GrandMaster	이 주문은 이미 최고의 성능을 발휘하고 있습니다!
	12	Name	마법사의 눈
	12	ShortName	마법사의 눈
	12	Description	마법사의 눈은 모험 화면 오른쪽 하단에 있는 자동 지도를 통해 야외에서 괴물과 기타 관심 지점의 위치를 표시합니다. 주문 지속 시간은 공기 마법 기술 점수당 1시간입니다.
	12	Normal	지형과 괴물만 표시
	12	Expert	보물 표시
	12	Master	기타 관심 지점 표시
	12	GrandMaster	시전 비용 무료
	13	Name	깃털 낙하
	13	ShortName	깃털 낙하
	13	Description	깃털 낙하는 낙하 속도를 늦춰 10피트 이상 떨어져도 캐릭터가 피해를 입지 않게 합니다. 깃털 낙하는 한 번의 시전으로 파티 전체에 영향을 주며, 지속 시간은 공기 마법 기술에 따라 결정됩니다.
	13	Normal	지속 시간: 기술 점수당 5분
	13	Expert	지속 시간: 기술 점수당 10분
	13	Master	지속 시간: 기술 점수당 1시간
	13	GrandMaster	회복 속도 증가
	14	Name	공기 저항
	14	ShortName	공기 저항
	14	Description	모든 캐릭터의 공기 피해 저항력을 공기 마법 기술 점수만큼 증가시킵니다. 보호 효과는 기술 점수당 1시간 동안 지속됩니다.
	14	Normal	기술 포인트당 저항력 1 증가
	14	Expert	기술 포인트당 저항력 2 증가
	14	Master	기술 포인트당 저항력 3 증가
	14	GrandMaster	스킬 포인트당 4의 저항력
	15	Name	불꽃
	15	ShortName	스파크
	15	Description	스파크는 작은 번개 구체를 발사하며, 무언가에 부딪히거나 사라질 때까지 주변을 튕겨 다닙니다. 어디로 튈지 예측하기 어렵기 때문에 작은 몬스터가 밀집한 방에서 사용하기 가장 좋습니다. 각 스파크는 2의 기본 피해와 공기 마법 기술 포인트당 1의 추가 피해를 줍니다.
	15	Normal	보통 회복 속도, 스파크 3개
	15	Expert	빠른 회복 속도, 스파크 5개
	15	Master	더 빠른 회복 속도, 스파크 7개
	15	GrandMaster	가장 빠른 회복 속도, 스파크 9개
	16	Name	점프
	16	ShortName	점프
	16	Description	점프는 파티를 공중으로 60피트 띄워 높은 난간에 오르거나 넓은 틈을 건널 수 있게 합니다. 점프로 인한 낙하 피해는 입지 않습니다.
	16	Normal	n/a
	16	Expert	보통 회복 속도
	16	Master	회복 속도 증가
	16	GrandMaster	회복 속도 매우 증가
	17	Name	실드
	17	ShortName	실드
	17	Description	투사체가 적중하기 직전 속도를 늦춰 원거리 공격(돌이나 화살 등)으로 받는 피해를 절반으로 줄입니다.
