Index	Description
0	힘은 캐릭터의 전반적인 완력과 그 힘을 필요한 곳에 발휘하는 능력을 나타냅니다. 힘이 높을수록 전투에서 더 큰 피해를 줍니다.
1	지능은 복잡하고 추상적인 개념을 이해하고 추론하는 능력을 나타냅니다. 네크로맨서와 다크 엘프의 최대 주문력은 지능에 따라 결정됩니다.
2	인격은 캐릭터의 의지력과 개인적 매력을 나타냅니다. 성직자, 뱀파이어, 미노타우로스의 최대 주문력은 인격에 따라 결정됩니다.
3	인내력은 캐릭터의 육체적 강인함과 내구력을 나타냅니다. 인내력이 높을수록 생명력이 증가합니다.
4	정확도는 캐릭터의 조준 능력과 손과 눈의 협응 능력을 나타냅니다. 정확도가 높을수록 전투에서 몬스터를 더 자주 명중시킵니다.
5	민첩성은 캐릭터가 얼마나 빠르고 민첩하게 움직이는지를 나타냅니다. 민첩성이 높을수록 방어력과 공격 후 회복 속도가 증가합니다.
6	운은 게임 전반에 미묘한 영향을 주며, 특히 마법 공격에 저항하거나 함정 피해를 줄이는 데 가장 뚜렷하게 작용합니다.
7	생명력은 캐릭터가 의식을 잃거나 죽기 전까지 견딜 수 있는 피해량을 나타냅니다. 생명력이 0 이하가 되면 의식을 잃고, -10에 도달하면 사망합니다. 방해받지 않고 8시간 휴식하면 모든 생명력이 회복됩니다.
8	방어력은 몬스터가 캐릭터를 명중시키기 얼마나 어려운지를 나타냅니다. 방어력이 높을수록 공격을 피할 확률이 높아집니다.
9	주문력은 주문을 시전할 때 필요합니다. 각 주문에는 시전 시 차감되는 주문력 소모량이 있습니다. 방해받지 않고 8시간 휴식하면 주문력이 회복됩니다.
10	상태는 중독, 질병, 사망 등 현재 캐릭터가 겪고 있는 가장 심각한 상태 이상을 표시합니다. 많은 상태 이상은 전투나 다른 행동 수행 능력을 크게 떨어뜨리므로 가능한 한 빨리 치료해야 합니다.
11	퀵스펠은 S 키를 눌렀을 때 시전되는 주문입니다. 주문책(C 키)을 열고 원하는 주문을 선택한 뒤 주문책 왼쪽 아래의 주문 설정 탭을 눌러 지정할 수 있습니다.
12	나이는 캐릭터의 현재 나이를 보여줍니다. 첫 번째 숫자는 일시적으로 변한 나이이고, 두 번째 숫자는 실제 나이입니다. 일부 몬스터와 마법 효과는 일시적 나이를 실제 나이보다 높일 수 있습니다.
13	레벨은 캐릭터가 받은 훈련의 정도를 나타냅니다. 레벨이 높을수록 생명력과 주문력도 증가합니다.
14	경험치는 캐릭터가 세상을 얼마나 이해하고 경험했는지를 나타냅니다. 충분한 경험치와 약간의 골드가 있으면 각지의 훈련소에서 훈련하여 레벨을 올리고, 스킬에 투자할 스킬 포인트를 얻을 수 있습니다.
15	근접 공격 보너스는 장착한 무기로 몬스터를 명중시킬 확률에 영향을 주는 모든 요소(스킬, 주문, 정확도 등)의 합입니다.
16	근접 피해는 장착한 무기로 가하는 피해량에 영향을 주는 모든 요소(힘, 주문, 일부 무기 스킬의 전문가/마스터 효과 등)의 합입니다.
17	원거리 공격 보너스는 장착한 원거리 무기로 몬스터를 명중시킬 확률에 영향을 주는 모든 요소(스킬, 주문, 정확도 등)의 합입니다.
18	원거리 피해는 장착한 원거리 무기로 가하는 피해량에 영향을 주는 모든 요소(주문, 무기 보너스 등)의 합입니다.
19	화염 저항은 화염 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 화염 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
20	공기 저항은 공기 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 공기 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
21	물 저항은 물 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 물 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
22	대지 저항은 대지 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 대지 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
23	정신 저항은 정신 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 정신 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
24	육체 저항은 육체 계열 공격으로 받는 피해를 줄이는 능력을 나타냅니다. 저항이 높으면 육체 피해를 크게 줄일 수 있지만 완전한 면역이 되는 것은 아닙니다.
25	스킬 포인트는 캐릭터가 새 레벨로 훈련할 때 얻습니다. 언제든 원하는 스킬에 스킬 포인트를 사용할 수 있습니다.
