Table (of Game struct)	Id	Field	New text
StatsNames	0		힘
	1		지능
	2		인격
	3		인내력
	4		정확도
	5		민첩성
	6		운
StatsDescriptions	0		힘은 캐릭터의 전반적인 완력과 그 힘을 필요한 곳에 발휘하는 능력을 나타냅니다. 힘이 높을수록 전투에서 더 큰 피해를 줍니다.
	1		지능은 복잡하고 추상적인 개념을 이해하고 추론하는 능력을 나타냅니다. 네크로맨서와 다크 엘프의 최대 주문력은 지능에 따라 결정됩니다.
	2		인격은 캐릭터의 의지력과 개인적 매력을 나타냅니다. 성직자, 뱀파이어, 미노타우로스의 최대 주문력은 인격에 따라 결정됩니다.
	3		인내력은 캐릭터의 육체적 강인함과 내구력을 나타냅니다. 인내력이 높을수록 생명력이 증가합니다.
	4		정확도는 캐릭터의 조준 능력과 손과 눈의 협응 능력을 나타냅니다. 정확도가 높을수록 전투에서 몬스터를 더 자주 명중시킵니다.
	5		민첩성은 캐릭터가 얼마나 빠르고 민첩하게 움직이는지를 나타냅니다. 민첩성이 높을수록 방어력과 공격 후 회복 속도가 증가합니다.
	6		운은 게임 전반에 미묘한 영향을 주며, 특히 마법 공격에 저항하거나 함정 피해를 줄이는 데 가장 뚜렷하게 작용합니다.
SkillNames	0		스태프
	1		검
	2		단검
	3		도끼
	4		창
	5		활
	6		메이스
	7		블래스터
	8		방패
	9		가죽 갑옷
	10		사슬 갑옷
	11		판금 갑옷
	12		화염 마법
	13		대기 마법
	14		물 마법
	15		대지 마법
	16		영혼 마법
	17		정신 마법
	18		신체 마법
	19		빛 마법
	20		어둠 마법
	21		다크 엘프 능력
	22		뱀파이어 능력
	23		드래곤 능력
	24		아이템 식별
	25		상술
	26		아이템 수리
	27		체력 단련
	28		명상
	29		지각
	30		재생
	31		함정 해제
	32		회피
	33		맨손 전투
	34		몬스터 식별
	35		무술
	36		소매치기
	37		연금술
	38		학습
SkillDescriptions	0		스태프 무기 숙련도입니다.
	1		검 무기 숙련도입니다.
	2		단검 무기 숙련도입니다.
	3		도끼 무기 숙련도입니다.
	4		창 무기 숙련도입니다.
	5		활 무기 숙련도입니다.
	6		메이스 무기 숙련도입니다.
	7		블래스터 무기 숙련도입니다.
	8		방패 착용 및 방어 숙련도입니다.
	9		가죽 갑옷 착용 숙련도입니다.
	10		사슬 갑옷 착용 숙련도입니다.
	11		판금 갑옷 착용 숙련도입니다.
	12		화염 계열 마법 숙련도입니다.
	13		대기 계열 마법 숙련도입니다.
	14		물 계열 마법 숙련도입니다.
	15		대지 계열 마법 숙련도입니다.
	16		영혼 계열 마법 숙련도입니다.
	17		정신 계열 마법 숙련도입니다.
	18		신체 계열 마법 숙련도입니다.
	19		빛 계열 마법 숙련도입니다.
	20		어둠 계열 마법 숙련도입니다.
	21		다크 엘프 종족 특수 능력 숙련도입니다.
	22		뱀파이어 종족 특수 능력 숙련도입니다.
	23		드래곤 종족 특수 능력 숙련도입니다.
	24		미식별 아이템을 식별하는 능력입니다.
	25		상점에서 물품 구매 및 판매 가격을 우대받는 능력입니다.
	26		손상된 무기 및 방어구를 수리하는 능력입니다.
	27		캐릭터의 최대 생명력을 증가시키는 능력입니다.
	28		캐릭터의 최대 주문력을 증가시키는 능력입니다.
	29		숨겨진 보물과 함정을 감지하는 능력입니다.
	30		시간 경과 시 생명력을 자동으로 회복하는 능력입니다.
	31		보물상자 및 문에 설치된 함정을 해제하는 능력입니다.
	32		갑옷을 입지 않았을 때 방어력을 높여주는 능력입니다.
	33		무기를 착용하지 않고 맨손으로 공격할 때의 효율입니다.
	34		몬스터의 상세 정보와 체력을 파악하는 능력입니다.
	35		공격 속도 및 무기 효율을 높여주는 능력입니다.
	36		대상의 소지품이나 물건을 훔치는 능력입니다.
	37		물약을 제조하고 합성하는 능력입니다.
	38		획득하는 경험치 양을 추가로 증가시키는 능력입니다.
SkillDesNormal	0		공격 보너스에 스킬 레벨 추가
	1		공격 보너스에 스킬 레벨 추가
	2		공격 보너스에 스킬 레벨 추가
	3		공격 보너스에 스킬 레벨 추가
	4		공격 보너스에 스킬 레벨 추가
	5		공격 보너스에 스킬 레벨 추가
	6		공격 보너스에 스킬 레벨 추가
	7		공격 보너스에 스킬 레벨 추가
	8		방어력(AC)에 스킬 레벨 추가
	9		방어력(AC)에 스킬 레벨 추가
	10		방어력(AC)에 스킬 레벨 추가
	11		방어력(AC)에 스킬 레벨 추가
	12		주문 효과 및 지속시간 향상
	13		주문 효과 및 지속시간 향상
	14		주문 효과 및 지속시간 향상
	15		주문 효과 및 지속시간 향상
	16		주문 효과 및 지속시간 향상
	17		주문 효과 및 지속시간 향상
	18		주문 효과 및 지속시간 향상
	19		주문 효과 및 지속시간 향상
	20		주문 효과 및 지속시간 향상
