Table (of Game struct)	Id	Field	New text
StdItemsTxt	0	NameAdd	[힘]
	1	NameAdd	[지력]
	2	NameAdd	[매력]
	3	NameAdd	[활력]
	4	NameAdd	[정밀]
	5	NameAdd	[속도]
	6	NameAdd	[행운]
	7	NameAdd	[건강]
	8	NameAdd	[마력]
	9	NameAdd	[방어]
	10	NameAdd	[화염 저항]
	11	NameAdd	[공기 저항]
	12	NameAdd	[물 저항]
	13	NameAdd	[대지 저항]
	14	NameAdd	[정신 저항]
	15	NameAdd	[육체 저항]
	16	NameAdd	[연금술]
	17	NameAdd	[도둑질]
	18	NameAdd	[함정 해제]
	19	NameAdd	[아이템 감정]
	20	NameAdd	[몬스터 감정]
	21	NameAdd	[무기 전문가]
	22	NameAdd	[회피]
	23	NameAdd	[맨손 전투]
	24	NameAdd	[강대한 힘]
