Table (of Game struct)	Id	Field	New text
TransTxt	1		뱀파이어의 납골당은 대개 철저히 숨겨져 있습니다. 섀도스파이어의 뱀파이어들이 이렇게 대놓고 활동한다는 사실은 이 지역에서 그들이 얼마나 강한지를 보여줍니다.
	2		매장 고분입니다. 수백 년은 족히 된 듯하지만, 문에 박힌 상감과 금박 장식은 깨끗하고 변색되지 않았습니다. 마법으로 보존되고 있는 모양입니다.
	3		브린 경이 세상을 떠났을 때 온 나라가 그를 애도했습니다. 그의 무덤은 순례자와 추모객들이 찾는 성지입니다.
	4		아래로 이어지는 통로를 발견했습니다. 들어가시겠습니까?
	5		화산이 바닷속에 가라앉아 있던 이 고대 건물을 끌어올린 듯합니다. 이 수수께끼의 건축물을 세운 자들은 누구였을까요?
	6		알바르의 다크 드워프들은 최근 이 지역에 정착했습니다. 하지만 짧은 시간 만에 광대한 광산망을 건설했습니다.
	7		이 동굴에는 분명 거대한 드래곤이 살고 있습니다. 둥지 근처의 시체들은 드래곤의 보물을 노리던 모험가들이었을지도 모릅니다.
	8		마컴 경의 저택은 엄청난 규모와 호화로운 장식으로, 주변의 소박한 농가와 오두막과 뚜렷한 대비를 이룹니다.
	9		입구 바닥에 널린 쓰레기와 썩어가는 오물을 보니, 여러 세대에 걸쳐 산적들이 법망을 피해 이 동굴에 숨어든 듯합니다.
	10		한때 위풍당당한 저택이었지만, 원래 주인들이 떠난 뒤 오랫동안 버려져 있었습니다. 지금 사는 자들은 건물을 제대로 관리하지 않는 듯합니다.
	11		이 고분의 입구는 보기 좋으면서도 동시에 위압적입니다. 입구 주변은 유난히 고요합니다.
	12		이 고분의 입구는 보기 좋으면서도 동시에 위압적입니다. 입구 주변은 유난히 고요합니다.
	13		이 고분의 입구는 보기 좋으면서도 동시에 위압적입니다. 입구 주변은 유난히 고요합니다.
	14		문은 잠겨 있지 않고 바깥에는 경비도 없습니다. 문손잡이의 철은 녹슬고 있으며, 문 위쪽 구석에는 작은 말벌집이 보입니다.
	15		보이지 않는 지하의 바람을 타고 동굴 입구에서 지독한 냄새가 풍겨옵니다. 썩은 고기에 유황과…박하를 섞은 냄새인가요? 아무튼 위험해 보입니다.
	16		별로 중요하지 않은 사람의 수수한 집입니다…적어도 그렇게 보이고 싶어 하는 사람의 집이겠지요.
	17		괴팍한 은둔자가 잠든 무덤인 듯합니다. 오랫동안 누구도 건드리지 않은 것 같습니다.
	18		이 동굴에는 분명 거대한 드래곤이 살고 있습니다. 둥지 근처의 언데드들은 드래곤의 보물을 노리던 모험가들이었을지도 모릅니다.
	19		동굴 입구에서 희미한 유황 냄새와 낯선 언어로 떠드는 생물들의 목소리가 흘러나옵니다.
	20		광대한 터널망 깊숙이 들어갈수록 수많은 위험한 생물이 살고 있다는 직감이 듭니다. 경계를 늦추지 않기로 합니다.
	21		자리표시자 텍스트
	22		천둥 같은 울부짖음이 귀를 찌르며 공포를 불러일으킵니다. 소리를 낸 무언가가 가까워지고 있으며, 걸음을 내디딜 때마다 발밑의 땅이 흔들립니다.
	23		자리표시자 텍스트
	24		자리표시자 텍스트
	25		수석 성기사이자 섭정인 윌버 험프리와 엔로스 왕위 계승자인 니콜라이 아이언피스트 왕자는 모두 아이언피스트 성에 머물고 있습니다.
	26		엔로스의 대소서러 앨버트 뉴턴 경은 뉴턴 성에 머물고 있습니다.
	27		수석 기사 오스릭 템퍼 경은 템퍼 성에 머물고 있습니다.
	28		프리 헤이븐의 대사제 앤서니 스톤 경은 스톤 성에 머물고 있습니다.
	29		재무대신 로레타 플라이스 부인은 플라이스 성에 머물고 있습니다.
	30		북부 변경백 에릭 폰 스트롬가드 경은 스트롬가드 성에 머물고 있습니다.
	31		기억할 수 없을 만큼 오랜 세월 동안 오라클은 엔로스의 통치자들에게 지혜를 전해왔습니다.
	32		자리표시자 텍스트
	33		자리표시자 텍스트
	34		자리표시자 텍스트
	35		기억할 수 없을 만큼 오랜 세월 동안 오라클은 엔로스의 통치자들에게 지혜를 전해왔습니다.
	36		자리표시자 텍스트
	37		자리표시자 텍스트
	38		자리표시자 텍스트
	39		자리표시자 텍스트
	40		자리표시자 텍스트
	41		수석 성기사이자 섭정인 윌버 험프리와 엔로스 왕위 계승자인 니콜라이 아이언피스트 왕자는 모두 아이언피스트 성에 머물고 있습니다.
	42		엔로스의 대소서러 앨버트 뉴턴 경은 뉴턴 성에 머물고 있습니다.
	43		수석 기사 오스릭 템퍼 경은 템퍼 성에 머물고 있습니다.
	44		프리 헤이븐의 대사제 앤서니 스톤 경은 스톤 성에 머물고 있습니다.
	45		재무대신 로레타 플라이스 부인은 플라이스 성에 머물고 있습니다.
	46		북부 변경백 에릭 폰 스트롬가드 경은 스트롬가드 성에 머물고 있습니다.
	47		공기 마법의 소용돌이치는 힘이 구름 안개의 알을 붙들고 있습니다. 기묘한 구조물 안에서 희미하지만 분명 화가 난 울부짖음이 들립니다.
	48		주변 공기는 꽤 따뜻하지만 이 얼음 고치는 녹지 않습니다. 물 마법의 정령력이 주변을 휘돌며 한겨울처럼 차갑게 유지하고 있습니다. 
	49		불 마법의 힘이 이 철제 원통을 시뻘겋게 달굽니다. 쉭쉭거리는 증기를 듣자 안에 끓는 물이 가득한 것은 아닌지 의문이 듭니다.
	50		구출된 뒤 발타자르 소굴의 미노타우로스들은 도시에 새로운 입구를 만들었습니다.
	51		리자드맨 이전에 대거 운드에 살았던 종족이 세운 수수께끼의 버려진 신전 후문입니다. 이제는 안전하겠지요?
	52		이 시대의 리자드맨 신전은 괴물이 아니라 함정으로 지켜졌다고 전해집니다. 그렇다면 어둠 속으로 미끄러져 사라진 파충류의 그림자는 대체 무엇일까요?
	53		관문 너머의 공기 차원에는 단단한 땅이 보이지 않습니다. 뿌연 저편에는 기묘한 건물들이 하늘에 떠 있는 듯합니다.
	54		관문을 들여다보는 것은 수중 협곡을 창문 너머로 바라보는 것 같습니다. 크고 작은 생물들이 멀리서 위협적으로 헤엄칩니다.
	55		갓 켠 목재 냄새로 보아 이 요새는 최근에 지어졌습니다. 산더미처럼 쌓인 보급품은 레그나 해적들이 장기 주둔을 계획하고 있음을 보여줍니다.
	56		달아오른 공기의 아지랑이로 시야가 흐리지만, 관문 너머로 용암 바다 위에 끝없이 다리가 뻗은 지옥 같은 풍경이 보입니다.
	57		자유항 레이븐쇼어에서도 관리들의 눈을 피해야 하는 물건은 있습니다. 그런 물건들은 대개 웨어랫 밀수꾼들의 손을 거쳐 이 외딴 만으로 드나듭니다.
	58		관문은 몇 걸음 앞에서 좌우로 갈라지는 흙 터널로 이어집니다. 두 통로가 어디로 이어지는지는 알 수 없습니다.
	59		늑대 소굴로 다가가는 길에 찍힌 발자국 수를 보니, 늑대들이 엄청나게 활발하거나 이 동굴에 수백 마리가 사는 듯합니다.
	60		알바르의 다크 엘프 상인들은 자데임 전역에 걸친 거대한 무역 제국을 운영합니다. 이곳은 레이븐쇼어에 있는 그들의 지부입니다.
	61		컨플럭스 열쇠에서 수정 전체를 울리는 날카로운 소리가 납니다. 숨겨져 있던 깊은 곳이 드러나며, 설명할 수 없는 힘으로 당신을 끌어당기는 통로가 나타납니다.
	62		벌집이 내뿜는 윙윙거림에 이가 덜덜 떨립니다. 느껴지는 바람은 자연풍이 아니라 수천 마리 괴물 날개의 역풍입니다.
	63		오우거 군대는 요새 건설 현장에 윈치를 가져갈 필요가 없습니다. 그들의 팔과 허리 힘이면 거대한 들보와 기둥도 충분히 세울 수 있습니다.
	64		러스트의 트롤들은 수백 년 동안 이곳에 망자를 묻어왔습니다. 세대가 바뀔 때마다 이전 세대가 판 지하묘지보다 더 깊이 파 내려갔습니다.
	65		사이클롭스들은 이 불길한 저장고를 어디에 쓰는 걸까요? 무슨 일을 하든 정육점 같은 냄새가 납니다.
	66		굳어버린 용암 터널이 뱀처럼 아래로 이어집니다. 정말 불의 호수 아래를 안전하게 지나갈 수 있을까요?
	67		오래전 잊힌 전쟁으로 폐허가 되었지만 성의 일부는 아직 온전합니다. 드래곤 사냥꾼들이 이를 유용하게 활용하고 있습니다.
	68		드래곤은 본래 홀로 사는 생물입니다. 가끔 몇 마리가 함께 둥지를 틀기도 하지만, 가로트 협곡의 드래곤들은 거대한 사회를 이루었습니다.
	69		이 고대 신전의 석조 정면은 세월의 모래 속에서 무너져 내렸습니다. 그러나 장엄함과 신비는 여전히 남아 있습니다.
	70		새로 지어진 신전이지만 벌써부터 세월을 초월한 분위기를 풍깁니다.
