Table	Id	Field	RuntimeOnlyText
Houses	45	Name	니혼 터널
Houses	48	Name	이오폴로 가는 터널
GlobalTxt	0		
GlobalTxt	1		
GlobalTxt	4		
GlobalTxt	5		
GlobalTxt	6		
GlobalTxt	8		
GlobalTxt	12		
GlobalTxt	14		
GlobalTxt	17		
GlobalTxt	18		
GlobalTxt	20		
GlobalTxt	22		
GlobalTxt	23		
GlobalTxt	24		
GlobalTxt	25		
GlobalTxt	29		
GlobalTxt	32		
GlobalTxt	34		
GlobalTxt	41		
GlobalTxt	45		
GlobalTxt	47		
GlobalTxt	52		
GlobalTxt	53		
GlobalTxt	54		
GlobalTxt	58		
GlobalTxt	65		
GlobalTxt	66		
GlobalTxt	69		
GlobalTxt	70		
GlobalTxt	75		
GlobalTxt	76		
GlobalTxt	79		
GlobalTxt	83		
GlobalTxt	84		
GlobalTxt	85		
GlobalTxt	87		
GlobalTxt	96		
GlobalTxt	98		
GlobalTxt	107		
GlobalTxt	108		
GlobalTxt	111		
GlobalTxt	116		
GlobalTxt	117		
GlobalTxt	123		
GlobalTxt	131		
GlobalTxt	133		
GlobalTxt	136		
GlobalTxt	137		
GlobalTxt	141		
GlobalTxt	142		
GlobalTxt	144		
GlobalTxt	153		
GlobalTxt	154		
GlobalTxt	162		
GlobalTxt	163		
GlobalTxt	166		
GlobalTxt	168		
GlobalTxt	170		
GlobalTxt	172		
GlobalTxt	174		
GlobalTxt	180		
GlobalTxt	187		
GlobalTxt	194		
GlobalTxt	202		
GlobalTxt	203		
GlobalTxt	204		
GlobalTxt	205		
GlobalTxt	206		
GlobalTxt	207		
GlobalTxt	208		
GlobalTxt	209		
GlobalTxt	211		
GlobalTxt	212		
GlobalTxt	213		
GlobalTxt	216		
GlobalTxt	220		
GlobalTxt	225		
GlobalTxt	231		
GlobalTxt	240		
GlobalTxt	241		
GlobalTxt	399		
GlobalTxt	400		
GlobalTxt	431		
GlobalTxt	432		
GlobalTxt	433		
GlobalTxt	537		
GlobalTxt	538		
GlobalTxt	539		
GlobalTxt	540		
GlobalTxt	634		
GlobalTxt	675		
GlobalTxt	676		
GlobalTxt	737		
ItemsTxt	200	Notes	
ItemsTxt	201	Notes	
ItemsTxt	263	Notes	
ItemsTxt	515	Notes	
ItemsTxt	518	Notes	
ItemsTxt	525	Notes	
ItemsTxt	988	Notes	
ItemsTxt	989	Notes	
ItemsTxt	990	Notes	
ItemsTxt	991	Notes	
ItemsTxt	992	Notes	
ItemsTxt	993	Notes	
ItemsTxt	994	Notes	
ItemsTxt	995	Notes	
ItemsTxt	996	Notes	
ItemsTxt	997	Notes	
ItemsTxt	998	Notes	
ItemsTxt	1002	Notes	
ItemsTxt	1006	Notes	
ItemsTxt	1012	Name	
ItemsTxt	1015	Notes	
ItemsTxt	1327	Notes	
ItemsTxt	1329	Notes	
ItemsTxt	1762	Name	
ItemsTxt	1762	Notes	
ItemsTxt	1764	Name	
ItemsTxt	1764	Notes	
ItemsTxt	2043	Notes	
MapStats	92	Name	
NPCDataTxt	340	Name	
NPCText	1673		
NPCText	1674		
NPCText	1675		
NPCText	1676		
NPCText	1677		
NPCText	1678		
NPCText	1679		
NPCText	1680		
NPCText	1681		
NPCText	1682		
NPCText	1683		
NPCText	1684		
NPCText	1685		
NPCText	1686		
NPCText	1687		
NPCText	1688		
NPCText	1689		
NPCText	1690		
NPCText	1692		
NPCText	2102		
NPCText	2103		
NPCText	2104		
NPCText	2105		
NPCText	2106		
NPCText	2107		
NPCText	2108		
NPCText	2109		
NPCText	2161		
NPCTopic	1765		
NPCTopic	1766		
NPCTopic	1767		
NPCTopic	1768		
TransTxt	20		
TransTxt	22		
