MapFile	StringId	English	Korean
6D01.STR	24	GoblinWatch	고블린워치
6D04.STR	16	Lord of Fire	불의 군주
6D05.STR	8	Black liquid filled barrel	검은 액체가 든 통
6D08.STR	31	Magical Wall	마법의 벽
6D08.STR	34	Shadow Guild	섀도 길드
6D09.STR	6	Bookshelves	책장
6D09.STR	15	Snergle's Iron Mines	스너글의 철광산
6D10.STR	11	Dragoons' Keep	드라군 성채
6D11.str	7	Corlagon's Estate	코라곤의 영지
6D13.STR	4	Monolith	모놀리스
6D13.STR	8	Nice Flower	예쁜 꽃
6D14.STR	4	Elevator	승강기
6D14.STR	5	Platform	발판
6D15.STR	7	Various Foodstuff bags	각종 식량 자루
6D15.STR	8	Throne	왕좌
6D15.STR	16	Icewind Keep	아이스윈드 성채
6D16.STR	9	Chest of Drawers	서랍장
6D16.STR	16	Warlord's Fortress	군벌의 요새
6D18.STR	4	Tile	타일
6D19.STR	10	Chandelier	샹들리에
6D19.STR	11	Cauldron	가마솥
6D19.STR	13	Agar's Laboratory	에이거의 연구소
6T2.STR	3	Evil Crystal	사악한 수정
6T2.STR	6	Flickering Torch	깜빡이는 횃불
6T3.STR	4	Cell	감방
6T3.STR	6	Temple of Tsantsa	찬차의 신전
6T6.STR	4	Oracle Memory Crystal	오라클 기억 수정
6T6.STR	7	Supreme Temple of Baa	바의 최고 신전
6T7.STR	5	Scroll	두루마리
6T7.STR	7	Baa Head One	바의 머리 1
6T7.STR	9	Baa Head Two	바의 머리 2
6T7.STR	11	Baa Head Three	바의 머리 3
6T7.STR	13	Baa Head Four	바의 머리 4
6T7.STR	24	Superior Temple of Baa	바의 상급 신전
7d19.STR	9	Drawer	서랍
7d25.STR	25	Castle Lambent	램번트 성
7d25.STR	27	Walls of Mist	안개의 장벽
7d26.STR	25	Castle Gloaming	글로밍 성
7d34.STR	9	Mine Car	광산 수레
7out02.STR	16	Fire	불
7out02.STR	17	Hatch	해치
7out02.STR	22	Signal Fire Pit	봉화 화로
7out02.STR	26	White Cliff Caves	화이트 클리프 동굴
7out03.STR	25	Sewer	하수도
7out03.STR	39	Plaza	광장
7out03.STR	46	City of Steadwick	스테드윅 시
7out04.STR	25	Castle Navan	나반 성
7out04.STR	26	Tularean Caves	툴라리안 동굴
7out04.STR	27	Clanker's Laboratory	클랭커의 연구소
7out05.STR	26	Watchtower 6	제6 감시탑
7out06.STR	34	Tavern	선술집
7out13.STR	25	Wine Cellar	와인 저장고
