Id	CanonicalName	Aliases
1	횃불	
2	화염 화살	파이어 볼트
3	화염 저항	불 저항
4	화염 오라	
5	가속	
6	화염구	파이어볼
7	화염 가시	파이어 스파이크
8	화염의 장막	이몰레이션
9	유성우	메테오 샤워
10	지옥불	인페르노
11	소각	인시너레이트
12	마법사의 눈	
13	깃털 낙하	
14	공기 저항	대기 저항
15	전기 불꽃	불꽃|스파크
16	도약	점프
17	방패	실드
18	번개 화살	라이트닝 볼트|라이트닝
19	투명화	인비저빌리티
20	내파	
21	비행	
22	별 폭발	스타버스트
23	각성	
24	독 분사	
25	물 저항	물 저항력
26	얼음 화살	
27	수면 보행	물 걷기
28	아이템 충전	충전
29	산성 폭발	
30	아이템 마법 부여	
31	도시 귀환	마을 귀환
32	얼음 폭발	
33	로이드의 봉화	로이드의 신호기|로이드
34	기절	
35	감속	둔화
36	대지 저항	
37	치명적인 벌떼	벌떼
38	돌가죽	석화 피부
39	칼날	
40	석화 해제	
41	바위 폭발	
42	염동력	
43	죽음의 꽃	데스 블로섬
44	질량 왜곡	대규모 왜곡
45	생명체 감지	생명 감지
46	축복	
47	운명	
48	언데드 퇴치	
49	저주 해제	
50	생명 보존	보존
51	영웅심	
52	영혼 채찍	
53	소생	죽은 자 소생|죽은 자 되살리기
54	생명 공유	
55	부활	
56	텔레파시	
57	공포 해제	공포 제거
58	정신 저항	
59	정신 폭발	마인드 블래스트
60	매혹	
61	마비 치료	
62	광폭화	
63	집단 공포	
64	광기 치료	
65	정신 충격	사이킥 쇼크
66	노예화	엔슬레이브
67	약화 치료	큐어 위크니스
68	치유	힐
69	육체 저항	신체 저항
70	고통	해
71	재생	
72	독 치료	
73	망치손	망치 손|해머핸즈
74	질병 치료	
75	마법 보호	
76	비행 주먹	
77	대치유	강력 치료
78	빛의 화살	
79	언데드 파괴	
80	마법 해제	
81	마비	
82	위스프 소환	위습 소환|소환
83	신들의 날	신의 날
84	프리즘 광선	프리즘 빛
85	보호의 날	
86	힘의 시간	
87	태양 광선	
88	신성한 개입	신의 개입
89	시체 소생	되살리기
90	독구름	
91	흡혈 무기	
92	축소 광선	
93	금속 파편	파편 금속
94	언데드 지배	언데드 조종
95	고통 반사	
96	어둠의 손아귀	
97	용의 숨결	드래곤 브레스|드래곤의 숨결
98	아마겟돈	
99	영혼 흡수	
